League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,(no statistics in this season)  header
LaLiga ,11/12 ,1 ,Espanyol ,Granada ,null ,null , the game is cancaled 0  with id 1794360 at round 1
LaLiga ,11/12 ,1 ,Levante ,Real Zaragoza ,null ,null , the game is cancaled 1  with id 1794361 at round 1
LaLiga ,11/12 ,1 ,Villarreal ,Sporting Gijón ,null ,null , the game is cancaled 2  with id 1794356 at round 1
LaLiga ,11/12 ,1 ,Osasuna ,Valencia ,null ,null , the game is cancaled 3  with id 1794358 at round 1
LaLiga ,11/12 ,1 ,Rayo Vallecano ,RCD Mallorca ,null ,null , the game is cancaled 4  with id 1794362 at round 1
LaLiga ,11/12 ,1 ,Racing de Santander ,Getafe ,null ,null , the game is cancaled 5  with id 1794359 at round 1
LaLiga ,11/12 ,1 ,Real Madrid ,Athletic Bilbao ,null ,null , the game is cancaled 6  with id 1794354 at round 1
LaLiga ,11/12 ,1 ,Málaga ,Barcelona ,null ,null , the game is cancaled 7  with id 1794355 at round 1
LaLiga ,11/12 ,1 ,Real Betis ,Sevilla ,null ,null , the game is cancaled 8  with id 1794357 at round 1
LaLiga ,11/12 ,1 ,Real Sociedad ,Atlético Madrid ,null ,null , the game is cancaled 9  with id 1794353 at round 1
LaLiga ,11/12 ,1 ,Espanyol ,Granada ,3 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,1 ,Racing de Santander ,Getafe ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,1 ,Real Sociedad ,Atlético Madrid ,0 ,4 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,1 ,Real Betis ,Sevilla ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,1 ,Osasuna ,Valencia ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,1 ,Rayo Vallecano ,RCD Mallorca ,0 ,1 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,1 ,Málaga ,Barcelona ,1 ,4 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,1 ,Levante ,Real Zaragoza ,0 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,1 ,Real Madrid ,Athletic Bilbao ,4 ,1 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,1 ,Villarreal ,Sporting Gijón ,3 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,2 ,Sporting Gijón ,Real Sociedad ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,2 ,Valencia ,Racing de Santander ,4 ,3 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,2 ,Granada ,Real Betis ,0 ,1 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,2 ,Atlético Madrid ,Osasuna ,0 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,2 ,Athletic Bilbao ,Rayo Vallecano ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,2 ,Getafe ,Levante ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,2 ,RCD Mallorca ,Espanyol ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,2 ,Real Zaragoza ,Real Madrid ,0 ,6 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,2 ,Sevilla ,Málaga ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,2 ,Barcelona ,Villarreal ,5 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,3 ,Real Sociedad ,Barcelona ,2 ,2 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,3 ,Villarreal ,Sevilla ,2 ,2 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,3 ,Real Madrid ,Getafe ,4 ,2 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,3 ,Valencia ,Atlético Madrid ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,3 ,Real Betis ,RCD Mallorca ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,3 ,Racing de Santander ,Levante ,0 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,3 ,Osasuna ,Sporting Gijón ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,3 ,Rayo Vallecano ,Real Zaragoza ,0 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,3 ,Espanyol ,Athletic Bilbao ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,3 ,Málaga ,Granada ,4 ,0 , (no statistics in this season)  here must be value
LaLiga ,11/12 ,4 ,Granada ,Villarreal ,1 ,0 , (no statistics in this season)  here must be value
