League , Years ,Round , Home Team , Away Team , HomeScore , Away Score , (no statistics in this season)  header
LaLiga ,13/14 ,1 ,Real Sociedad ,Getafe ,2 ,0 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,1 ,Real Valladolid ,Athletic Bilbao ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,1 ,Valencia ,Málaga ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,1 ,Barcelona ,Levante ,7 ,0 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,1 ,Osasuna ,Granada ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,1 ,Real Madrid ,Real Betis ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,1 ,Sevilla ,Atlético Madrid ,1 ,3 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,1 ,Rayo Vallecano ,Elche CF ,3 ,0 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,1 ,Almería ,Villarreal ,2 ,3 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,1 ,Celta Vigo ,Espanyol ,2 ,2 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,2 ,Getafe ,Almería ,2 ,2 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,2 ,Athletic Bilbao ,Osasuna ,2 ,0 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,2 ,Elche CF ,Real Sociedad ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,2 ,Espanyol ,Valencia ,3 ,1 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,2 ,Villarreal ,Real Valladolid ,2 ,1 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,2 ,Atlético Madrid ,Rayo Vallecano ,5 ,0 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,2 ,Levante ,Sevilla ,0 ,0 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,2 ,Málaga ,Barcelona ,0 ,1 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,2 ,Real Betis ,Celta Vigo ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,2 ,Granada ,Real Madrid ,0 ,1 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,3 ,Almería ,Elche CF ,2 ,2 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,3 ,Rayo Vallecano ,Levante ,1 ,2 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,3 ,Celta Vigo ,Granada ,1 ,1 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,3 ,Real Valladolid ,Getafe ,1 ,0 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,3 ,Osasuna ,Villarreal ,0 ,3 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,3 ,Real Madrid ,Athletic Bilbao ,3 ,1 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,3 ,Espanyol ,Real Betis ,0 ,0 , (no statistics in this season)  here must be value
LaLiga ,13/14 ,3 ,Real Sociedad ,Atlético Madrid ,1 ,2 , (no statistics in this season)  here must be value
