League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,
LaLiga ,14/15 ,1 ,Málaga ,Athletic Bilbao ,1 ,0 ,43% ,57% ,null ,null ,2 ,5 ,4 ,3 ,null ,null ,2 ,4 ,2 ,2 ,13 ,9 ,3 ,3 ,2 ,0 ,5 ,1 ,
LaLiga ,14/15 ,1 ,Granada ,Deportivo La Coruña ,2 ,1 ,54% ,46% ,null ,null ,3 ,1 ,5 ,1 ,null ,null ,5 ,3 ,2 ,5 ,13 ,26 ,1 ,3 ,0 ,0 ,0 ,2 ,
LaLiga ,14/15 ,1 ,Sevilla ,Valencia ,1 ,1 ,53% ,47% ,null ,null ,1 ,4 ,3 ,4 ,null ,null ,3 ,3 ,4 ,1 ,24 ,7 ,4 ,2 ,0 ,1 ,2 ,0 ,
LaLiga ,14/15 ,1 ,Almería ,Espanyol ,1 ,1 ,65% ,35% ,null ,null ,6 ,5 ,9 ,5 ,null ,null ,11 ,7 ,4 ,0 ,7 ,9 ,3 ,3 ,0 ,1 ,4 ,5 ,
LaLiga ,14/15 ,1 ,Eibar ,Real Sociedad ,1 ,0 ,52% ,48% ,null ,null ,5 ,2 ,6 ,4 ,null ,null ,3 ,6 ,3 ,1 ,12 ,15 ,4 ,1 ,0 ,0 ,2 ,4 ,
LaLiga ,14/15 ,1 ,Barcelona ,Elche CF ,3 ,0 ,66% ,34% ,null ,null ,6 ,0 ,3 ,3 ,null ,null ,3 ,1 ,2 ,0 ,12 ,13 ,0 ,1 ,1 ,0 ,0 ,1 ,
LaLiga ,14/15 ,1 ,Celta Vigo ,Getafe ,3 ,1 ,55% ,45% ,null ,null ,10 ,3 ,4 ,7 ,null ,null ,5 ,4 ,5 ,0 ,18 ,15 ,4 ,1 ,0 ,0 ,2 ,4 ,
LaLiga ,14/15 ,1 ,Levante ,Villarreal ,0 ,2 ,52% ,48% ,null ,null ,3 ,6 ,4 ,4 ,null ,null ,4 ,4 ,4 ,4 ,11 ,13 ,1 ,3 ,0 ,0 ,1 ,2 ,
LaLiga ,14/15 ,1 ,Real Madrid ,Córdoba ,2 ,0 ,60% ,40% ,null ,null ,9 ,2 ,4 ,6 ,null ,null ,5 ,5 ,5 ,4 ,10 ,13 ,1 ,2 ,0 ,0 ,2 ,7 ,
LaLiga ,14/15 ,1 ,Rayo Vallecano ,Atlético Madrid ,0 ,0 ,62% ,38% ,null ,null ,3 ,2 ,2 ,3 ,null ,null ,2 ,4 ,2 ,4 ,13 ,17 ,2 ,2 ,0 ,0 ,2 ,3 ,
LaLiga ,14/15 ,2 ,Getafe ,Almería ,1 ,0 ,54% ,46% ,null ,null ,3 ,5 ,4 ,4 ,null ,null ,2 ,3 ,null ,null ,18 ,11 ,3 ,2 ,0 ,0 ,5 ,2 ,
LaLiga ,14/15 ,2 ,Valencia ,Málaga ,3 ,0 ,55% ,45% ,null ,null ,3 ,5 ,6 ,6 ,null ,null ,4 ,5 ,1 ,3 ,18 ,10 ,1 ,2 ,0 ,1 ,5 ,0 ,
LaLiga ,14/15 ,2 ,Athletic Bilbao ,Levante ,3 ,0 ,54% ,46% ,null ,null ,4 ,3 ,4 ,4 ,null ,null ,2 ,11 ,4 ,5 ,12 ,17 ,1 ,4 ,0 ,0 ,3 ,4 ,
LaLiga ,14/15 ,2 ,Córdoba ,Celta Vigo ,1 ,1 ,41% ,59% ,null ,null ,1 ,3 ,3 ,3 ,null ,null ,1 ,6 ,2 ,5 ,13 ,19 ,1 ,4 ,0 ,0 ,2 ,0 ,
LaLiga ,14/15 ,2 ,Atlético Madrid ,Eibar ,2 ,1 ,43% ,57% ,null ,null ,6 ,2 ,6 ,3 ,null ,null ,5 ,5 ,2 ,0 ,12 ,18 ,3 ,0 ,0 ,0 ,1 ,4 ,
