League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,
LaLiga ,15/16 ,1 ,Málaga ,Sevilla ,0 ,0 ,57% ,43% ,25 ,10 ,5 ,2 ,13 ,7 ,7 ,1 ,7 ,2 ,1 ,3 ,0 ,0 ,3 ,5 ,0 ,1 ,null ,null ,null ,null ,9 ,8 ,16 ,2 ,2 ,4 ,374 ,283 ,298 (80%) ,207 (73%) ,38 ,49 ,7 ,16 ,55% ,45% ,11 ,7 ,2 ,1 ,6 ,6 ,3 ,0 ,4 ,1 ,0 ,0 ,2 ,1 ,0 ,0 ,null ,null ,null ,null ,3 ,5 ,8 ,2 ,1 ,2 ,177 ,146 ,137 (77%) ,110 (75%) ,17 ,21 ,4 ,9 ,59% ,41% ,14 ,3 ,3 ,1 ,7 ,1 ,4 ,1 ,3 ,1 ,1 ,3 ,1 ,4 ,0 ,1 ,null ,null ,null ,null ,6 ,3 ,8 ,0 ,1 ,2 ,197 ,137 ,161 (82%) ,97 (71%) ,21 ,28 ,3 ,7 ,
LaLiga ,15/16 ,1 ,Deportivo La Coruña ,Real Sociedad ,0 ,0 ,56% ,44% ,16 ,9 ,5 ,2 ,6 ,1 ,5 ,6 ,5 ,4 ,2 ,2 ,0 ,0 ,3 ,2 ,null ,null ,null ,null ,null ,null ,3 ,6 ,13 ,3 ,2 ,5 ,470 ,350 ,375 (80%) ,248 (71%) ,42 ,60 ,14 ,19 ,62% ,38% ,7 ,6 ,2 ,1 ,4 ,1 ,1 ,4 ,2 ,2 ,1 ,1 ,1 ,1 ,null ,null ,null ,null ,null ,null ,2 ,4 ,5 ,2 ,1 ,2 ,266 ,156 ,222 (83%) ,113 (72%) ,18 ,26 ,5 ,8 ,51% ,49% ,9 ,3 ,3 ,1 ,2 ,0 ,4 ,2 ,3 ,2 ,1 ,1 ,2 ,1 ,null ,null ,null ,null ,null ,null ,1 ,2 ,8 ,1 ,1 ,3 ,204 ,194 ,153 (75%) ,135 (70%) ,24 ,34 ,9 ,11 ,
LaLiga ,15/16 ,1 ,Espanyol ,Getafe ,1 ,0 ,33% ,67% ,5 ,13 ,2 ,3 ,2 ,7 ,1 ,3 ,4 ,6 ,5 ,2 ,0 ,0 ,2 ,5 ,0 ,1 ,null ,null ,1 ,0 ,3 ,5 ,2 ,8 ,2 ,1 ,263 ,519 ,174 (66%) ,434 (84%) ,65 ,51 ,20 ,9 ,38% ,62% ,3 ,6 ,2 ,2 ,1 ,4 ,0 ,0 ,3 ,2 ,4 ,2 ,0 ,0 ,0 ,0 ,null ,null ,0 ,0 ,2 ,1 ,1 ,5 ,2 ,1 ,141 ,223 ,98 (70%) ,184 (83%) ,28 ,26 ,8 ,6 ,29% ,71% ,2 ,7 ,0 ,1 ,1 ,3 ,1 ,3 ,1 ,4 ,1 ,0 ,2 ,5 ,0 ,1 ,null ,null ,1 ,0 ,1 ,4 ,1 ,3 ,0 ,0 ,122 ,296 ,76 (62%) ,250 (84%) ,37 ,25 ,12 ,3 ,
LaLiga ,15/16 ,1 ,Atlético Madrid ,Las Palmas ,1 ,0 ,61% ,39% ,14 ,8 ,3 ,1 ,8 ,4 ,3 ,3 ,4 ,4 ,null ,null ,0 ,0 ,2 ,0 ,null ,null ,1 ,1 ,null ,null ,7 ,5 ,7 ,3 ,1 ,2 ,614 ,390 ,516 (84%) ,287 (74%) ,55 ,68 ,12 ,26 ,62% ,38% ,7 ,1 ,2 ,0 ,4 ,1 ,1 ,0 ,2 ,0 ,null ,null ,0 ,0 ,null ,null ,0 ,0 ,null ,null ,5 ,0 ,2 ,1 ,0 ,1 ,339 ,212 ,289 (85%) ,159 (75%) ,24 ,31 ,7 ,13 ,60% ,40% ,7 ,7 ,1 ,1 ,4 ,3 ,2 ,3 ,2 ,4 ,null ,null ,2 ,0 ,null ,null ,1 ,1 ,null ,null ,2 ,5 ,5 ,2 ,1 ,1 ,275 ,178 ,227 (83%) ,128 (72%) ,31 ,37 ,5 ,13 ,
LaLiga ,15/16 ,1 ,Rayo Vallecano ,Valencia ,0 ,0 ,56% ,44% ,8 ,10 ,3 ,4 ,2 ,4 ,3 ,2 ,3 ,3 ,0 ,1 ,0 ,0 ,3 ,1 ,null ,null ,null ,null ,0 ,1 ,1 ,7 ,7 ,3 ,4 ,3 ,433 ,332 ,331 (76%) ,230 (69%) ,58 ,68 ,19 ,22 ,58% ,42% ,5 ,5 ,3 ,3 ,1 ,2 ,1 ,0 ,0 ,2 ,0 ,1 ,1 ,0 ,null ,null ,null ,null ,0 ,1 ,0 ,5 ,5 ,0 ,3 ,3 ,259 ,177 ,208 (80%) ,126 (71%) ,27 ,36 ,11 ,8 ,55% ,45% ,3 ,5 ,0 ,1 ,1 ,2 ,2 ,2 ,3 ,1 ,0 ,0 ,2 ,1 ,null ,null ,null ,null ,0 ,0 ,1 ,2 ,2 ,3 ,1 ,0 ,174 ,155 ,123 (71%) ,104 (67%) ,31 ,32 ,8 ,14 ,
LaLiga ,15/16 ,1 ,Athletic Bilbao ,Barcelona ,0 ,1 ,32% ,68% ,8 ,10 ,2 ,4 ,3 ,3 ,3 ,3 ,2 ,4 ,4 ,4 ,0 ,0 ,3 ,3 ,null ,null ,0 ,1 ,0 ,1 ,5 ,7 ,3 ,3 ,3 ,2 ,319 ,674 ,195 (61%) ,544 (81%) ,46 ,66 ,18 ,15 ,24% ,76% ,5 ,7 ,1 ,2 ,1 ,2 ,3 ,3 ,2 ,2 ,2 ,0 ,2 ,1 ,null ,null ,0 ,0 ,0 ,1 ,4 ,4 ,1 ,3 ,2 ,1 ,113 ,371 ,66 (58%) ,316 (85%) ,21 ,27 ,7 ,4 ,40% ,60% ,3 ,3 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,2 ,2 ,4 ,1 ,2 ,null ,null ,0 ,1 ,0 ,0 ,1 ,3 ,2 ,0 ,1 ,1 ,206 ,303 ,129 (63%) ,228 (75%) ,25 ,39 ,11 ,11 ,
LaLiga ,15/16 ,1 ,Sporting Gijón ,Real Madrid ,0 ,0 ,32% ,68% ,6 ,27 ,0 ,8 ,4 ,14 ,2 ,5 ,2 ,5 ,2 ,1 ,0 ,0 ,4 ,0 ,null ,null ,1 ,0 ,1 ,2 ,4 ,12 ,2 ,15 ,8 ,0 ,305 ,639 ,205 (67%) ,555 (87%) ,48 ,77 ,9 ,17 ,38% ,62% ,3 ,10 ,0 ,2 ,3 ,6 ,0 ,2 ,0 ,1 ,1 ,0 ,1 ,0 ,null ,null ,1 ,0 ,0 ,0 ,2 ,3 ,1 ,7 ,2 ,0 ,193 ,308 ,139 (72%) ,265 (86%) ,22 ,32 ,5 ,10 ,25% ,75% ,3 ,17 ,0 ,6 ,1 ,8 ,2 ,3 ,2 ,4 ,1 ,1 ,3 ,0 ,null ,null ,0 ,0 ,1 ,2 ,2 ,9 ,1 ,8 ,6 ,0 ,112 ,331 ,66 (59%) ,290 (88%) ,26 ,45 ,4 ,7 ,
LaLiga ,15/16 ,1 ,Levante ,Celta Vigo ,1 ,2 ,29% ,71% ,11 ,15 ,2 ,6 ,7 ,6 ,2 ,3 ,4 ,6 ,null ,null ,0 ,0 ,1 ,3 ,1 ,0 ,0 ,1 ,0 ,2 ,3 ,8 ,8 ,7 ,4 ,1 ,257 ,658 ,175 (68%) ,575 (87%) ,49 ,60 ,12 ,19 ,23% ,77% ,5 ,7 ,1 ,2 ,3 ,4 ,1 ,1 ,2 ,2 ,null ,null ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,4 ,4 ,3 ,1 ,1 ,115 ,387 ,70 (61%) ,344 (89%) ,26 ,32 ,5 ,10 ,35% ,65% ,6 ,8 ,1 ,4 ,4 ,2 ,1 ,2 ,2 ,4 ,null ,null ,1 ,2 ,0 ,0 ,0 ,1 ,0 ,2 ,2 ,4 ,4 ,4 ,3 ,0 ,142 ,271 ,105 (74%) ,231 (85%) ,23 ,28 ,7 ,9 ,
LaLiga ,15/16 ,1 ,Real Betis ,Villarreal ,1 ,1 ,65% ,35% ,22 ,8 ,6 ,4 ,13 ,4 ,3 ,0 ,7 ,5 ,1 ,2 ,0 ,0 ,3 ,1 ,0 ,1 ,0 ,1 ,0 ,3 ,9 ,7 ,13 ,1 ,2 ,5 ,396 ,216 ,310 (78%) ,133 (62%) ,68 ,58 ,14 ,22 ,61% ,39% ,6 ,3 ,0 ,2 ,5 ,1 ,1 ,0 ,2 ,3 ,1 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,5 ,0 ,1 ,0 ,194 ,125 ,146 (75%) ,78 (62%) ,35 ,21 ,8 ,9 ,69% ,31% ,16 ,5 ,6 ,2 ,8 ,3 ,2 ,0 ,5 ,2 ,0 ,1 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,3 ,8 ,4 ,8 ,1 ,1 ,5 ,202 ,91 ,164 (81%) ,55 (60%) ,33 ,37 ,6 ,13 ,
LaLiga ,15/16 ,1 ,Granada ,Eibar ,1 ,3 ,57% ,43% ,12 ,10 ,6 ,4 ,5 ,4 ,1 ,2 ,6 ,5 ,1 ,3 ,0 ,0 ,1 ,6 ,1 ,0 ,null ,null ,0 ,1 ,6 ,8 ,6 ,2 ,1 ,5 ,453 ,334 ,349 (77%) ,238 (71%) ,62 ,55 ,15 ,21 ,63% ,37% ,5 ,7 ,2 ,3 ,3 ,2 ,0 ,2 ,2 ,2 ,1 ,0 ,0 ,2 ,0 ,0 ,null ,null ,0 ,1 ,3 ,5 ,2 ,2 ,1 ,2 ,227 ,128 ,180 (79%) ,83 (65%) ,26 ,30 ,5 ,10 ,52% ,48% ,7 ,3 ,4 ,1 ,2 ,2 ,1 ,0 ,4 ,3 ,0 ,3 ,1 ,4 ,1 ,0 ,null ,null ,0 ,0 ,3 ,3 ,4 ,0 ,0 ,3 ,226 ,206 ,169 (75%) ,155 (75%) ,36 ,25 ,10 ,11 ,
