League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Big chances Home ,ALL Shots extra Big chances Away ,ALL Shots extra Big chances missed Home ,ALL Shots extra Big chances missed Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Big chances Home ,1ST Shots extra Big chances Away ,1ST Shots extra Big chances missed Home ,1ST Shots extra Big chances missed Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Big chances Home ,2ND Shots extra Big chances Away ,2ND Shots extra Big chances missed Home ,2ND Shots extra Big chances missed Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,
LaLiga ,16/17 ,1 ,Málaga ,Osasuna ,1 ,1 ,55% ,45% ,13 ,8 ,4 ,3 ,6 ,2 ,3 ,3 ,5 ,3 ,1 ,1 ,11 ,23 ,2 ,3 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,9 ,5 ,4 ,3 ,2 ,3 ,402 ,328 ,286 (71%) ,219 (67%) ,68 ,70 ,24 ,21 ,61% ,39% ,5 ,2 ,1 ,1 ,3 ,0 ,1 ,1 ,3 ,2 ,0 ,1 ,1 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,4 ,2 ,1 ,0 ,1 ,1 ,230 ,146 ,171 (74%) ,91 (62%) ,34 ,41 ,14 ,12 ,49% ,51% ,8 ,6 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,1 ,1 ,0 ,1 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,5 ,3 ,3 ,3 ,1 ,2 ,172 ,182 ,115 (67%) ,128 (70%) ,34 ,29 ,10 ,9 ,
LaLiga ,16/17 ,1 ,Deportivo La Coruña ,Eibar ,2 ,1 ,49% ,51% ,11 ,13 ,6 ,6 ,5 ,3 ,0 ,4 ,1 ,8 ,4 ,1 ,14 ,18 ,3 ,3 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,6 ,5 ,5 ,8 ,5 ,4 ,377 ,372 ,287 (76%) ,276 (74%) ,40 ,45 ,14 ,8 ,45% ,55% ,6 ,6 ,2 ,2 ,4 ,2 ,0 ,2 ,1 ,4 ,2 ,0 ,0 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,4 ,3 ,2 ,3 ,2 ,2 ,174 ,208 ,126 (72%) ,161 (77%) ,21 ,17 ,9 ,3 ,54% ,46% ,5 ,7 ,4 ,4 ,1 ,1 ,0 ,2 ,0 ,4 ,2 ,1 ,3 ,3 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,2 ,2 ,3 ,5 ,3 ,2 ,203 ,164 ,161 (79%) ,115 (70%) ,19 ,28 ,5 ,5 ,
LaLiga ,16/17 ,1 ,Barcelona ,Real Betis ,6 ,2 ,73% ,27% ,30 ,6 ,12 ,2 ,6 ,3 ,12 ,1 ,10 ,2 ,4 ,0 ,17 ,13 ,1 ,3 ,null ,null ,null ,null ,null ,null ,1 ,0 ,null ,null ,16 ,3 ,14 ,3 ,0 ,6 ,684 ,249 ,608 (89%) ,176 (71%) ,41 ,33 ,8 ,9 ,69% ,31% ,11 ,3 ,3 ,1 ,2 ,2 ,6 ,0 ,4 ,1 ,2 ,0 ,0 ,1 ,null ,null ,null ,null ,null ,null ,1 ,0 ,null ,null ,8 ,1 ,3 ,2 ,0 ,0 ,325 ,142 ,281 (86%) ,99 (70%) ,18 ,17 ,7 ,7 ,76% ,24% ,19 ,3 ,9 ,1 ,4 ,1 ,6 ,1 ,6 ,1 ,2 ,0 ,1 ,2 ,null ,null ,null ,null ,null ,null ,0 ,0 ,null ,null ,8 ,2 ,11 ,1 ,0 ,6 ,359 ,107 ,327 (91%) ,77 (72%) ,23 ,16 ,1 ,2 ,
LaLiga ,16/17 ,1 ,Granada ,Villarreal ,1 ,1 ,67% ,33% ,7 ,12 ,1 ,3 ,6 ,5 ,0 ,4 ,7 ,3 ,1 ,3 ,17 ,11 ,2 ,3 ,null ,null ,null ,null ,null ,null ,0 ,2 ,null ,null ,4 ,8 ,3 ,4 ,2 ,0 ,522 ,252 ,438 (84%) ,163 (65%) ,45 ,52 ,11 ,8 ,71% ,29% ,2 ,5 ,0 ,1 ,2 ,1 ,0 ,3 ,6 ,2 ,0 ,1 ,1 ,1 ,null ,null ,null ,null ,null ,null ,0 ,0 ,null ,null ,1 ,4 ,1 ,1 ,1 ,0 ,289 ,115 ,240 (83%) ,70 (61%) ,23 ,26 ,9 ,6 ,64% ,36% ,5 ,7 ,1 ,2 ,4 ,4 ,0 ,1 ,1 ,1 ,1 ,2 ,1 ,2 ,null ,null ,null ,null ,null ,null ,0 ,2 ,null ,null ,3 ,4 ,2 ,3 ,1 ,0 ,233 ,137 ,198 (85%) ,93 (68%) ,22 ,26 ,2 ,2 ,
LaLiga ,16/17 ,1 ,Sevilla ,Espanyol ,6 ,4 ,73% ,27% ,16 ,10 ,11 ,7 ,2 ,1 ,3 ,2 ,8 ,2 ,2 ,0 ,8 ,15 ,2 ,2 ,null ,null ,null ,null ,null ,null ,1 ,0 ,0 ,1 ,12 ,7 ,4 ,3 ,3 ,5 ,589 ,202 ,493 (84%) ,138 (68%) ,64 ,44 ,17 ,5 ,75% ,25% ,9 ,6 ,7 ,4 ,1 ,1 ,1 ,1 ,6 ,1 ,1 ,0 ,1 ,2 ,null ,null ,null ,null ,null ,null ,1 ,0 ,0 ,1 ,7 ,4 ,2 ,2 ,1 ,4 ,271 ,85 ,218 (80%) ,56 (66%) ,25 ,18 ,8 ,4 ,72% ,28% ,7 ,4 ,4 ,3 ,1 ,0 ,2 ,1 ,2 ,1 ,1 ,0 ,1 ,0 ,null ,null ,null ,null ,null ,null ,0 ,0 ,0 ,0 ,5 ,3 ,2 ,1 ,2 ,1 ,318 ,117 ,275 (86%) ,82 (70%) ,39 ,26 ,9 ,1 ,
LaLiga ,16/17 ,1 ,Sporting Gijón ,Athletic Bilbao ,2 ,1 ,38% ,62% ,12 ,13 ,4 ,4 ,7 ,7 ,1 ,2 ,2 ,5 ,2 ,0 ,18 ,15 ,3 ,3 ,null ,null ,null ,null ,null ,null ,1 ,0 ,2 ,0 ,7 ,5 ,5 ,8 ,3 ,2 ,297 ,475 ,170 (57%) ,340 (72%) ,55 ,65 ,14 ,26 ,41% ,59% ,5 ,3 ,0 ,1 ,4 ,1 ,1 ,1 ,1 ,2 ,2 ,0 ,2 ,0 ,null ,null ,null ,null ,null ,null ,0 ,0 ,0 ,0 ,2 ,1 ,3 ,2 ,1 ,0 ,160 ,222 ,93 (58%) ,149 (67%) ,28 ,33 ,9 ,15 ,34% ,66% ,7 ,10 ,4 ,3 ,3 ,6 ,0 ,1 ,1 ,3 ,0 ,0 ,1 ,3 ,null ,null ,null ,null ,null ,null ,1 ,0 ,2 ,0 ,5 ,4 ,2 ,6 ,2 ,2 ,137 ,253 ,77 (56%) ,191 (75%) ,27 ,32 ,5 ,11 ,
LaLiga ,16/17 ,1 ,Real Sociedad ,Real Madrid ,0 ,3 ,44% ,56% ,8 ,18 ,0 ,8 ,4 ,7 ,4 ,3 ,4 ,7 ,null ,null ,22 ,11 ,2 ,3 ,null ,null ,null ,null ,null ,null ,0 ,1 ,1 ,2 ,6 ,12 ,2 ,6 ,5 ,0 ,422 ,535 ,328 (78%) ,441 (82%) ,50 ,75 ,10 ,11 ,42% ,58% ,1 ,10 ,0 ,4 ,0 ,5 ,1 ,1 ,1 ,3 ,null ,null ,0 ,0 ,null ,null ,null ,null ,null ,null ,0 ,0 ,0 ,0 ,0 ,7 ,1 ,3 ,2 ,0 ,200 ,273 ,152 (76%) ,233 (85%) ,27 ,44 ,7 ,7 ,46% ,54% ,7 ,8 ,0 ,4 ,4 ,2 ,3 ,2 ,3 ,4 ,null ,null ,2 ,3 ,null ,null ,null ,null ,null ,null ,0 ,1 ,1 ,2 ,6 ,5 ,1 ,3 ,3 ,0 ,222 ,262 ,176 (79%) ,208 (79%) ,23 ,31 ,3 ,4 ,
LaLiga ,16/17 ,1 ,Atlético Madrid ,Deportivo Alavés ,1 ,1 ,62% ,38% ,27 ,2 ,6 ,1 ,13 ,1 ,8 ,0 ,20 ,2 ,7 ,1 ,7 ,15 ,0 ,4 ,null ,null ,null ,null ,null ,null ,2 ,0 ,null ,null ,17 ,0 ,10 ,2 ,0 ,5 ,490 ,311 ,412 (84%) ,206 (66%) ,70 ,62 ,24 ,21 ,60% ,40% ,11 ,1 ,2 ,0 ,5 ,1 ,4 ,0 ,8 ,0 ,3 ,0 ,0 ,0 ,null ,null ,null ,null ,null ,null ,1 ,0 ,null ,null ,5 ,0 ,6 ,1 ,0 ,2 ,253 ,168 ,216 (85%) ,116 (69%) ,31 ,32 ,9 ,7 ,63% ,37% ,16 ,1 ,4 ,1 ,8 ,0 ,4 ,0 ,12 ,2 ,4 ,1 ,0 ,4 ,null ,null ,null ,null ,null ,null ,1 ,0 ,null ,null ,12 ,0 ,4 ,1 ,0 ,3 ,237 ,143 ,196 (83%) ,90 (63%) ,39 ,30 ,15 ,14 ,
LaLiga ,16/17 ,1 ,Celta Vigo ,Leganés ,0 ,1 ,64% ,36% ,10 ,15 ,2 ,6 ,4 ,5 ,4 ,4 ,8 ,4 ,2 ,0 ,5 ,13 ,4 ,1 ,0 ,1 ,null ,null ,null ,null ,0 ,1 ,0 ,1 ,6 ,7 ,4 ,8 ,5 ,2 ,593 ,328 ,485 (82%) ,229 (70%) ,64 ,61 ,14 ,22 ,69% ,31% ,5 ,6 ,2 ,2 ,2 ,2 ,1 ,2 ,3 ,1 ,2 ,0 ,1 ,0 ,0 ,0 ,null ,null ,null ,null ,0 ,0 ,0 ,0 ,3 ,2 ,2 ,4 ,2 ,2 ,332 ,150 ,278 (84%) ,94 (63%) ,40 ,33 ,10 ,14 ,59% ,41% ,5 ,9 ,0 ,4 ,2 ,3 ,3 ,2 ,5 ,3 ,0 ,0 ,3 ,1 ,0 ,1 ,null ,null ,null ,null ,0 ,1 ,0 ,1 ,3 ,5 ,2 ,4 ,3 ,0 ,261 ,178 ,207 (79%) ,135 (76%) ,24 ,28 ,4 ,8 ,
LaLiga ,16/17 ,1 ,Valencia ,Las Palmas ,2 ,4 ,58% ,42% ,17 ,6 ,8 ,4 ,7 ,1 ,2 ,1 ,12 ,1 ,3 ,3 ,15 ,18 ,2 ,2 ,null ,null ,null ,null ,null ,null ,1 ,0 ,0 ,3 ,11 ,5 ,6 ,1 ,0 ,6 ,470 ,360 ,407 (87%) ,287 (80%) ,65 ,48 ,10 ,9 ,53% ,47% ,6 ,3 ,5 ,3 ,1 ,0 ,0 ,0 ,6 ,0 ,1 ,3 ,1 ,1 ,null ,null ,null ,null ,null ,null ,0 ,0 ,0 ,0 ,3 ,3 ,3 ,0 ,0 ,3 ,207 ,186 ,178 (86%) ,161 (87%) ,40 ,17 ,8 ,1 ,62% ,38% ,11 ,3 ,3 ,1 ,6 ,1 ,2 ,1 ,6 ,1 ,2 ,0 ,1 ,1 ,null ,null ,null ,null ,null ,null ,1 ,0 ,0 ,3 ,8 ,2 ,3 ,1 ,0 ,3 ,263 ,174 ,229 (87%) ,126 (72%) ,25 ,31 ,2 ,8 ,
