League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Big chances Home ,ALL Shots extra Big chances Away ,ALL Shots extra Big chances missed Home ,ALL Shots extra Big chances missed Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Passes Long balls Home ,ALL Passes Long balls Away ,ALL Passes Crosses Home ,ALL Passes Crosses Away ,ALL Duels Dribbles Home ,ALL Duels Dribbles Away ,ALL Duels Possession lost Home ,ALL Duels Possession lost Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,ALL Defending Tackles Home ,ALL Defending Tackles Away ,ALL Defending Interceptions Home ,ALL Defending Interceptions Away ,ALL Defending Clearances Home ,ALL Defending Clearances Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Big chances Home ,1ST Shots extra Big chances Away ,1ST Shots extra Big chances missed Home ,1ST Shots extra Big chances missed Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Passes Long balls Home ,1ST Passes Long balls Away ,1ST Passes Crosses Home ,1ST Passes Crosses Away ,1ST Duels Dribbles Home ,1ST Duels Dribbles Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,1ST Defending Tackles Home ,1ST Defending Tackles Away ,1ST Defending Interceptions Home ,1ST Defending Interceptions Away ,1ST Defending Clearances Home ,1ST Defending Clearances Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Big chances Home ,2ND Shots extra Big chances Away ,2ND Shots extra Big chances missed Home ,2ND Shots extra Big chances missed Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Passes Long balls Home ,2ND Passes Long balls Away ,2ND Passes Crosses Home ,2ND Passes Crosses Away ,2ND Duels Dribbles Home ,2ND Duels Dribbles Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,2ND Defending Tackles Home ,2ND Defending Tackles Away ,2ND Defending Interceptions Home ,2ND Defending Interceptions Away ,2ND Defending Clearances Home ,2ND Defending Clearances Away ,
LaLiga ,17/18 ,1 ,Leganés ,Deportivo Alavés ,1 ,0 ,52% ,48% ,14 ,9 ,3 ,5 ,6 ,3 ,5 ,1 ,4 ,2 ,3 ,0 ,17 ,17 ,0 ,1 ,null ,null ,null ,null ,null ,null ,0 ,1 ,null ,null ,6 ,5 ,8 ,4 ,5 ,2 ,382 ,346 ,261 (68%) ,235 (68%) ,null ,null ,null ,null ,null ,null ,184 ,177 ,76 ,60 ,32 ,16 ,null ,null ,null ,null ,null ,null ,50% ,50% ,11 ,3 ,3 ,3 ,4 ,0 ,4 ,0 ,2 ,2 ,1 ,0 ,0 ,1 ,null ,null ,null ,null ,null ,null ,0 ,0 ,null ,null ,4 ,3 ,7 ,0 ,3 ,2 ,167 ,166 ,108 (65%) ,106 (64%) ,null ,null ,null ,null ,null ,null ,37 ,28 ,20 ,7 ,null ,null ,null ,null ,null ,null ,54% ,46% ,3 ,6 ,0 ,2 ,2 ,3 ,1 ,1 ,2 ,0 ,2 ,0 ,0 ,0 ,null ,null ,null ,null ,null ,null ,0 ,1 ,null ,null ,2 ,2 ,1 ,4 ,2 ,0 ,215 ,180 ,153 (71%) ,129 (72%) ,null ,null ,null ,null ,null ,null ,39 ,32 ,12 ,9 ,null ,null ,null ,null ,null ,null ,
LaLiga ,17/18 ,1 ,Valencia ,Las Palmas ,1 ,0 ,47% ,53% ,22 ,5 ,6 ,4 ,10 ,1 ,6 ,0 ,5 ,2 ,2 ,1 ,25 ,13 ,3 ,2 ,0 ,1 ,null ,null ,null ,null ,1 ,0 ,2 ,0 ,16 ,1 ,6 ,4 ,4 ,5 ,445 ,499 ,365 (82%) ,418 (84%) ,null ,null ,null ,null ,null ,null ,121 ,123 ,42 ,56 ,8 ,8 ,null ,null ,null ,null ,null ,null ,47% ,53% ,9 ,2 ,3 ,2 ,4 ,0 ,2 ,0 ,2 ,1 ,1 ,1 ,2 ,0 ,0 ,1 ,null ,null ,null ,null ,0 ,0 ,1 ,0 ,6 ,1 ,3 ,1 ,2 ,2 ,207 ,242 ,166 (80%) ,204 (84%) ,null ,null ,null ,null ,null ,null ,22 ,24 ,3 ,4 ,null ,null ,null ,null ,null ,null ,47% ,53% ,13 ,3 ,3 ,2 ,6 ,1 ,4 ,0 ,3 ,1 ,1 ,0 ,1 ,2 ,0 ,0 ,null ,null ,null ,null ,1 ,0 ,1 ,0 ,10 ,0 ,3 ,3 ,2 ,3 ,238 ,257 ,199 (84%) ,214 (83%) ,null ,null ,null ,null ,null ,null ,20 ,32 ,5 ,4 ,null ,null ,null ,null ,null ,null ,
LaLiga ,17/18 ,1 ,Celta Vigo ,Real Sociedad ,2 ,3 ,52% ,48% ,16 ,13 ,5 ,6 ,4 ,6 ,7 ,1 ,5 ,4 ,3 ,1 ,12 ,11 ,3 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,1 ,0 ,12 ,8 ,4 ,5 ,3 ,3 ,456 ,402 ,376 (82%) ,323 (80%) ,null ,null ,null ,null ,null ,null ,131 ,125 ,36 ,44 ,11 ,13 ,null ,null ,null ,null ,null ,null ,52% ,48% ,10 ,6 ,3 ,2 ,3 ,3 ,4 ,1 ,2 ,1 ,1 ,0 ,0 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,0 ,0 ,8 ,4 ,2 ,2 ,1 ,2 ,234 ,212 ,194 (83%) ,169 (80%) ,null ,null ,null ,null ,null ,null ,20 ,16 ,6 ,3 ,null ,null ,null ,null ,null ,null ,52% ,48% ,6 ,7 ,2 ,4 ,1 ,3 ,3 ,0 ,3 ,3 ,2 ,1 ,3 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,1 ,0 ,4 ,4 ,2 ,3 ,2 ,1 ,222 ,190 ,182 (82%) ,154 (81%) ,null ,null ,null ,null ,null ,null ,16 ,28 ,5 ,10 ,null ,null ,null ,null ,null ,null ,
LaLiga ,17/18 ,1 ,Girona ,Atlético Madrid ,2 ,2 ,52% ,48% ,13 ,9 ,6 ,3 ,7 ,4 ,0 ,2 ,6 ,0 ,0 ,2 ,15 ,15 ,2 ,4 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,8 ,4 ,5 ,5 ,1 ,4 ,444 ,425 ,374 (84%) ,330 (78%) ,null ,null ,null ,null ,null ,null ,131 ,131 ,48 ,63 ,19 ,23 ,null ,null ,null ,null ,null ,null ,53% ,47% ,6 ,3 ,4 ,1 ,2 ,1 ,0 ,1 ,2 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,3 ,0 ,3 ,3 ,1 ,2 ,246 ,228 ,207 (84%) ,170 (75%) ,null ,null ,null ,null ,null ,null ,24 ,30 ,10 ,14 ,null ,null ,null ,null ,null ,null ,51% ,49% ,7 ,6 ,2 ,2 ,5 ,3 ,0 ,1 ,4 ,0 ,0 ,1 ,1 ,3 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,5 ,4 ,2 ,2 ,0 ,2 ,198 ,197 ,167 (84%) ,160 (81%) ,null ,null ,null ,null ,null ,null ,24 ,33 ,9 ,9 ,null ,null ,null ,null ,null ,null ,
LaLiga ,17/18 ,1 ,Sevilla ,Espanyol ,1 ,1 ,62% ,38% ,9 ,9 ,4 ,6 ,4 ,2 ,1 ,1 ,7 ,3 ,6 ,0 ,14 ,12 ,2 ,4 ,1 ,0 ,4 ,2 ,3 ,1 ,1 ,0 ,null ,null ,8 ,7 ,1 ,2 ,5 ,3 ,617 ,378 ,514 (83%) ,271 (72%) ,null ,null ,null ,null ,null ,null ,157 ,156 ,55 ,53 ,19 ,12 ,null ,null ,null ,null ,null ,null ,65% ,35% ,4 ,7 ,3 ,4 ,1 ,2 ,0 ,1 ,3 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,2 ,2 ,1 ,1 ,0 ,0 ,null ,null ,4 ,5 ,0 ,2 ,3 ,2 ,332 ,177 ,284 (86%) ,128 (72%) ,null ,null ,null ,null ,null ,null ,31 ,27 ,8 ,6 ,null ,null ,null ,null ,null ,null ,58% ,42% ,5 ,2 ,1 ,2 ,3 ,0 ,1 ,0 ,4 ,3 ,4 ,0 ,2 ,3 ,1 ,0 ,2 ,0 ,2 ,0 ,1 ,0 ,null ,null ,4 ,2 ,1 ,0 ,2 ,1 ,285 ,201 ,230 (81%) ,143 (71%) ,null ,null ,null ,null ,null ,null ,24 ,26 ,11 ,6 ,null ,null ,null ,null ,null ,null ,
LaLiga ,17/18 ,1 ,Athletic Bilbao ,Getafe ,0 ,0 ,63% ,37% ,13 ,8 ,2 ,2 ,8 ,4 ,3 ,2 ,7 ,6 ,1 ,1 ,16 ,15 ,1 ,5 ,0 ,1 ,2 ,0 ,2 ,0 ,null ,null ,null ,null ,10 ,6 ,3 ,2 ,2 ,2 ,532 ,303 ,425 (80%) ,189 (62%) ,null ,null ,null ,null ,null ,null ,172 ,154 ,78 ,58 ,28 ,13 ,null ,null ,null ,null ,null ,null ,63% ,37% ,7 ,4 ,2 ,1 ,3 ,2 ,2 ,1 ,3 ,3 ,1 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,1 ,0 ,null ,null ,null ,null ,6 ,3 ,1 ,1 ,1 ,2 ,294 ,168 ,238 (81%) ,105 (63%) ,null ,null ,null ,null ,null ,null ,38 ,25 ,16 ,3 ,null ,null ,null ,null ,null ,null ,64% ,36% ,6 ,4 ,0 ,1 ,5 ,2 ,1 ,1 ,4 ,3 ,0 ,1 ,1 ,3 ,0 ,1 ,1 ,0 ,1 ,0 ,null ,null ,null ,null ,4 ,3 ,2 ,1 ,1 ,0 ,238 ,135 ,187 (79%) ,84 (62%) ,null ,null ,null ,null ,null ,null ,40 ,33 ,12 ,10 ,null ,null ,null ,null ,null ,null ,
LaLiga ,17/18 ,1 ,Barcelona ,Real Betis ,2 ,0 ,60% ,40% ,15 ,3 ,2 ,0 ,8 ,2 ,5 ,1 ,8 ,0 ,2 ,1 ,16 ,15 ,2 ,1 ,null ,null ,null ,null ,null ,null ,3 ,0 ,null ,null ,9 ,2 ,7 ,1 ,0 ,1 ,667 ,433 ,591 (89%) ,362 (84%) ,null ,null ,null ,null ,null ,null ,125 ,110 ,44 ,43 ,3 ,5 ,null ,null ,null ,null ,null ,null ,61% ,39% ,9 ,1 ,1 ,0 ,5 ,0 ,3 ,1 ,2 ,0 ,1 ,0 ,0 ,0 ,null ,null ,null ,null ,null ,null ,1 ,0 ,null ,null ,6 ,1 ,4 ,0 ,0 ,0 ,353 ,218 ,314 (89%) ,177 (81%) ,null ,null ,null ,null ,null ,null ,19 ,24 ,1 ,2 ,null ,null ,null ,null ,null ,null ,59% ,41% ,6 ,2 ,1 ,0 ,3 ,2 ,2 ,0 ,6 ,0 ,1 ,1 ,2 ,1 ,null ,null ,null ,null ,null ,null ,2 ,0 ,null ,null ,3 ,1 ,3 ,1 ,0 ,1 ,314 ,215 ,277 (88%) ,185 (86%) ,null ,null ,null ,null ,null ,null ,25 ,19 ,2 ,3 ,null ,null ,null ,null ,null ,null ,
LaLiga ,17/18 ,1 ,Deportivo La Coruña ,Real Madrid ,0 ,3 ,31% ,69% ,12 ,16 ,6 ,8 ,5 ,4 ,1 ,4 ,4 ,4 ,2 ,2 ,16 ,12 ,5 ,3 ,0 ,1 ,null ,null ,null ,null ,1 ,0 ,1 ,0 ,8 ,9 ,4 ,7 ,5 ,5 ,292 ,645 ,228 (78%) ,574 (89%) ,null ,null ,null ,null ,null ,null ,122 ,126 ,43 ,52 ,10 ,9 ,null ,null ,null ,null ,null ,null ,26% ,74% ,6 ,7 ,3 ,4 ,3 ,1 ,0 ,2 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,null ,null ,null ,null ,0 ,0 ,0 ,0 ,5 ,6 ,1 ,1 ,2 ,3 ,142 ,402 ,109 (77%) ,361 (90%) ,null ,null ,null ,null ,null ,null ,24 ,25 ,5 ,6 ,null ,null ,null ,null ,null ,null ,39% ,61% ,6 ,9 ,3 ,4 ,2 ,3 ,1 ,2 ,3 ,3 ,2 ,1 ,4 ,3 ,0 ,1 ,null ,null ,null ,null ,1 ,0 ,1 ,0 ,3 ,3 ,3 ,6 ,3 ,2 ,150 ,243 ,119 (79%) ,213 (88%) ,null ,null ,null ,null ,null ,null ,19 ,27 ,5 ,3 ,null ,null ,null ,null ,null ,null ,
LaLiga ,17/18 ,1 ,Levante ,Villarreal ,1 ,0 ,41% ,59% ,14 ,8 ,3 ,1 ,7 ,2 ,4 ,5 ,11 ,6 ,2 ,1 ,18 ,14 ,1 ,3 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,7 ,7 ,7 ,1 ,1 ,2 ,318 ,472 ,247 (78%) ,388 (82%) ,null ,null ,null ,null ,null ,null ,140 ,114 ,42 ,61 ,15 ,18 ,null ,null ,null ,null ,null ,null ,39% ,61% ,6 ,7 ,1 ,1 ,3 ,2 ,2 ,4 ,7 ,3 ,1 ,0 ,1 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,2 ,7 ,4 ,0 ,1 ,1 ,142 ,237 ,102 (72%) ,196 (83%) ,null ,null ,null ,null ,null ,null ,17 ,34 ,7 ,11 ,null ,null ,null ,null ,null ,null ,43% ,57% ,8 ,1 ,2 ,0 ,4 ,0 ,2 ,1 ,4 ,3 ,1 ,1 ,0 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,5 ,0 ,3 ,1 ,0 ,1 ,176 ,235 ,145 (82%) ,192 (82%) ,null ,null ,null ,null ,null ,null ,25 ,27 ,8 ,7 ,null ,null ,null ,null ,null ,null ,
LaLiga ,17/18 ,1 ,Málaga ,Eibar ,0 ,1 ,55% ,45% ,10 ,13 ,4 ,6 ,3 ,4 ,3 ,3 ,3 ,7 ,2 ,5 ,16 ,15 ,2 ,3 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,6 ,6 ,4 ,7 ,5 ,4 ,461 ,360 ,353 (77%) ,259 (72%) ,null ,null ,null ,null ,null ,null ,152 ,171 ,45 ,65 ,15 ,25 ,null ,null ,null ,null ,null ,null ,58% ,42% ,3 ,5 ,1 ,3 ,1 ,2 ,1 ,0 ,0 ,4 ,2 ,1 ,1 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,2 ,2 ,1 ,3 ,3 ,1 ,253 ,170 ,201 (79%) ,125 (74%) ,null ,null ,null ,null ,null ,null ,19 ,21 ,9 ,10 ,null ,null ,null ,null ,null ,null ,51% ,49% ,7 ,8 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,0 ,4 ,1 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,4 ,4 ,3 ,4 ,2 ,3 ,208 ,190 ,152 (73%) ,134 (71%) ,null ,null ,null ,null ,null ,null ,26 ,44 ,6 ,15 ,null ,null ,null ,null ,null ,null ,
