League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Big chances Home ,ALL Shots extra Big chances Away ,ALL Shots extra Big chances missed Home ,ALL Shots extra Big chances missed Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Counter attack shots Home ,ALL Shots extra Counter attack shots Away ,ALL Shots extra Counter attack goals Home ,ALL Shots extra Counter attack goals Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Passes Long balls Home ,ALL Passes Long balls Away ,ALL Passes Crosses Home ,ALL Passes Crosses Away ,ALL Duels Dribbles Home ,ALL Duels Dribbles Away ,ALL Duels Possession lost Home ,ALL Duels Possession lost Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,ALL Defending Tackles Home ,ALL Defending Tackles Away ,ALL Defending Interceptions Home ,ALL Defending Interceptions Away ,ALL Defending Clearances Home ,ALL Defending Clearances Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Big chances Home ,1ST Shots extra Big chances Away ,1ST Shots extra Big chances missed Home ,1ST Shots extra Big chances missed Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Counter attack shots Home ,1ST Shots extra Counter attack shots Away ,1ST Shots extra Counter attack goals Home ,1ST Shots extra Counter attack goals Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Passes Long balls Home ,1ST Passes Long balls Away ,1ST Passes Crosses Home ,1ST Passes Crosses Away ,1ST Duels Dribbles Home ,1ST Duels Dribbles Away ,1ST Duels Possession lost Home ,1ST Duels Possession lost Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,1ST Defending Tackles Home ,1ST Defending Tackles Away ,1ST Defending Interceptions Home ,1ST Defending Interceptions Away ,1ST Defending Clearances Home ,1ST Defending Clearances Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Big chances Home ,2ND Shots extra Big chances Away ,2ND Shots extra Big chances missed Home ,2ND Shots extra Big chances missed Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Counter attack shots Home ,2ND Shots extra Counter attack shots Away ,2ND Shots extra Counter attack goals Home ,2ND Shots extra Counter attack goals Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Passes Long balls Home ,2ND Passes Long balls Away ,2ND Passes Crosses Home ,2ND Passes Crosses Away ,2ND Duels Dribbles Home ,2ND Duels Dribbles Away ,2ND Duels Possession lost Home ,2ND Duels Possession lost Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,2ND Defending Tackles Home ,2ND Defending Tackles Away ,2ND Defending Interceptions Home ,2ND Defending Interceptions Away ,2ND Defending Clearances Home ,2ND Defending Clearances Away ,
LaLiga ,20/21 ,1 ,Eibar ,Celta Vigo ,0 ,0 ,50% ,50% ,8 ,6 ,1 ,3 ,5 ,3 ,2 ,0 ,3 ,3 ,0 ,5 ,17 ,13 ,4 ,4 ,1 ,0 ,0 ,2 ,0 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,4 ,6 ,4 ,0 ,3 ,1 ,331 ,338 ,182 (55%) ,192 (57%) ,36/87 (41%) ,25/88 (28%) ,2/19 (11%) ,1/10 (10%) ,5/11 (45%) ,10/15 (67%) ,216 ,203 ,76 ,64 ,43 ,26 ,15 ,15 ,5 ,13 ,14 ,30 ,53% ,47% ,4 ,3 ,1 ,1 ,2 ,2 ,1 ,0 ,2 ,2 ,0 ,3 ,2 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,3 ,3 ,1 ,0 ,1 ,1 ,183 ,162 ,106 (58%) ,91 (56%) ,17/45 (38%) ,14/47 (30%) ,2/11 (18%) ,0/3 (0%) ,4/8 (50%) ,1/5 (20%) ,107 ,96 ,40 ,26 ,23 ,12 ,7 ,8 ,3 ,6 ,6 ,21 ,46% ,54% ,4 ,3 ,0 ,2 ,3 ,1 ,1 ,0 ,1 ,1 ,0 ,2 ,2 ,3 ,1 ,0 ,0 ,1 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,1 ,3 ,3 ,0 ,2 ,0 ,148 ,176 ,76 (51%) ,101 (57%) ,19/42 (45%) ,11/41 (27%) ,0/8 (0%) ,1/7 (14%) ,1/3 (33%) ,9/10 (90%) ,109 ,107 ,36 ,38 ,20 ,14 ,8 ,7 ,2 ,7 ,8 ,9 ,
LaLiga ,20/21 ,1 ,Granada ,Athletic Bilbao ,2 ,0 ,40% ,60% ,4 ,9 ,2 ,2 ,2 ,7 ,0 ,0 ,1 ,2 ,5 ,0 ,8 ,10 ,3 ,4 ,null ,null ,1 ,0 ,null ,null ,0 ,1 ,null ,null ,null ,null ,null ,null ,2 ,7 ,2 ,2 ,2 ,0 ,332 ,470 ,230 (69%) ,364 (77%) ,27/78 (35%) ,34/73 (47%) ,2/10 (20%) ,8/35 (23%) ,9/12 (75%) ,4/5 (80%) ,144 ,153 ,43 ,48 ,21 ,25 ,4 ,11 ,15 ,7 ,27 ,11 ,42% ,58% ,1 ,4 ,0 ,0 ,1 ,4 ,0 ,0 ,1 ,1 ,1 ,0 ,2 ,1 ,null ,null ,0 ,0 ,null ,null ,0 ,0 ,null ,null ,null ,null ,null ,null ,1 ,3 ,0 ,1 ,0 ,0 ,160 ,205 ,101 (63%) ,146 (71%) ,8/37 (22%) ,17/40 (43%) ,1/5 (20%) ,4/15 (27%) ,5/6 (83%) ,1/1 (100%) ,76 ,79 ,22 ,25 ,10 ,16 ,2 ,4 ,6 ,4 ,10 ,4 ,38% ,62% ,3 ,5 ,2 ,2 ,1 ,3 ,0 ,0 ,0 ,1 ,4 ,0 ,1 ,3 ,null ,null ,1 ,0 ,null ,null ,0 ,1 ,null ,null ,null ,null ,null ,null ,1 ,4 ,2 ,1 ,2 ,0 ,172 ,265 ,129 (75%) ,218 (82%) ,19/41 (46%) ,17/33 (52%) ,1/5 (20%) ,4/20 (20%) ,4/6 (67%) ,3/4 (75%) ,68 ,74 ,21 ,23 ,11 ,9 ,2 ,7 ,9 ,3 ,17 ,7 ,
LaLiga ,20/21 ,1 ,Cádiz ,Osasuna ,0 ,2 ,52% ,48% ,12 ,6 ,3 ,4 ,7 ,2 ,2 ,0 ,6 ,2 ,2 ,1 ,14 ,21 ,2 ,2 ,null ,null ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,6 ,4 ,6 ,2 ,2 ,3 ,362 ,336 ,244 (67%) ,205 (61%) ,22/79 (28%) ,35/80 (44%) ,6/25 (24%) ,1/10 (10%) ,11/17 (65%) ,4/17 (24%) ,176 ,178 ,74 ,70 ,25 ,42 ,18 ,14 ,11 ,6 ,11 ,19 ,49% ,51% ,6 ,3 ,0 ,2 ,5 ,1 ,1 ,0 ,1 ,2 ,1 ,0 ,0 ,1 ,null ,null ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,4 ,2 ,2 ,1 ,1 ,0 ,195 ,205 ,123 (63%) ,124 (60%) ,12/45 (27%) ,15/43 (35%) ,2/9 (22%) ,1/7 (14%) ,3/7 (43%) ,2/8 (25%) ,102 ,110 ,39 ,37 ,18 ,23 ,9 ,8 ,10 ,5 ,6 ,7 ,57% ,43% ,6 ,3 ,3 ,2 ,2 ,1 ,1 ,0 ,5 ,0 ,1 ,1 ,2 ,1 ,null ,null ,0 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,2 ,2 ,4 ,1 ,1 ,3 ,167 ,131 ,121 (72%) ,81 (62%) ,10/34 (29%) ,20/37 (54%) ,4/16 (25%) ,0/3 (0%) ,8/10 (80%) ,2/9 (22%) ,74 ,68 ,35 ,33 ,7 ,19 ,9 ,6 ,1 ,1 ,5 ,12 ,
LaLiga ,20/21 ,1 ,Deportivo Alavés ,Real Betis ,0 ,1 ,41% ,59% ,7 ,11 ,2 ,4 ,3 ,5 ,2 ,2 ,6 ,4 ,8 ,3 ,19 ,17 ,3 ,3 ,null ,null ,1 ,1 ,1 ,1 ,0 ,2 ,null ,null ,null ,null ,null ,null ,6 ,4 ,1 ,7 ,3 ,2 ,299 ,428 ,223 (75%) ,336 (79%) ,30/57 (53%) ,30/68 (44%) ,5/14 (36%) ,4/12 (33%) ,5/16 (31%) ,7/9 (78%) ,129 ,131 ,57 ,47 ,24 ,8 ,12 ,15 ,14 ,7 ,10 ,9 ,45% ,55% ,1 ,5 ,0 ,1 ,1 ,3 ,0 ,1 ,1 ,1 ,5 ,2 ,1 ,0 ,null ,null ,0 ,0 ,0 ,0 ,0 ,1 ,null ,null ,null ,null ,null ,null ,1 ,2 ,0 ,3 ,1 ,0 ,183 ,221 ,150 (82%) ,176 (80%) ,19/31 (61%) ,19/35 (54%) ,1/6 (17%) ,3/8 (38%) ,2/7 (29%) ,5/6 (83%) ,63 ,65 ,26 ,20 ,12 ,0 ,4 ,7 ,5 ,3 ,7 ,3 ,37% ,63% ,6 ,6 ,2 ,3 ,2 ,2 ,2 ,1 ,5 ,3 ,3 ,1 ,2 ,3 ,null ,null ,1 ,1 ,1 ,1 ,0 ,1 ,null ,null ,null ,null ,null ,null ,5 ,2 ,1 ,4 ,2 ,2 ,116 ,207 ,73 (63%) ,160 (77%) ,11/26 (42%) ,11/33 (33%) ,4/8 (50%) ,1/4 (25%) ,3/9 (33%) ,2/3 (67%) ,66 ,66 ,31 ,27 ,12 ,8 ,8 ,8 ,9 ,4 ,3 ,6 ,
LaLiga ,20/21 ,1 ,Real Valladolid ,Real Sociedad ,1 ,1 ,40% ,60% ,8 ,8 ,3 ,2 ,5 ,6 ,0 ,0 ,5 ,3 ,1 ,1 ,15 ,17 ,4 ,1 ,null ,null ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,null ,null ,null ,null ,8 ,4 ,0 ,4 ,1 ,1 ,262 ,393 ,173 (66%) ,297 (76%) ,27/71 (38%) ,33/60 (55%) ,4/16 (25%) ,3/18 (17%) ,4/11 (36%) ,9/15 (60%) ,126 ,143 ,50 ,61 ,21 ,26 ,12 ,12 ,8 ,7 ,17 ,19 ,36% ,64% ,7 ,4 ,3 ,0 ,4 ,4 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,0 ,null ,null ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,1 ,null ,null ,null ,null ,7 ,3 ,0 ,1 ,0 ,1 ,131 ,232 ,89 (68%) ,192 (83%) ,17/34 (50%) ,21/32 (66%) ,2/5 (40%) ,2/8 (25%) ,2/3 (67%) ,5/7 (71%) ,53 ,62 ,28 ,26 ,10 ,12 ,6 ,3 ,2 ,2 ,9 ,6 ,45% ,55% ,1 ,4 ,0 ,2 ,1 ,2 ,0 ,0 ,4 ,2 ,0 ,0 ,3 ,1 ,null ,null ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,null ,null ,null ,null ,1 ,1 ,0 ,3 ,1 ,0 ,131 ,161 ,84 (64%) ,105 (65%) ,10/37 (27%) ,12/28 (43%) ,2/11 (18%) ,1/10 (10%) ,2/8 (25%) ,4/8 (50%) ,73 ,81 ,22 ,35 ,11 ,14 ,6 ,9 ,6 ,5 ,8 ,13 ,
LaLiga ,20/21 ,1 ,Villarreal ,Huesca ,1 ,1 ,65% ,35% ,15 ,10 ,4 ,3 ,7 ,4 ,4 ,3 ,6 ,6 ,4 ,4 ,10 ,22 ,1 ,1 ,null ,null ,3 ,1 ,2 ,0 ,1 ,0 ,null ,null ,null ,null ,null ,null ,11 ,8 ,4 ,2 ,2 ,3 ,549 ,280 ,471 (86%) ,210 (75%) ,32/53 (60%) ,28/62 (45%) ,4/30 (13%) ,5/21 (24%) ,10/14 (71%) ,9/15 (60%) ,144 ,125 ,55 ,45 ,14 ,14 ,11 ,15 ,12 ,16 ,11 ,26 ,60% ,40% ,4 ,4 ,2 ,2 ,1 ,1 ,1 ,1 ,3 ,4 ,3 ,1 ,1 ,0 ,null ,null ,0 ,1 ,0 ,0 ,1 ,0 ,null ,null ,null ,null ,null ,null ,3 ,3 ,1 ,1 ,1 ,2 ,271 ,168 ,229 (85%) ,126 (75%) ,13/25 (52%) ,15/34 (44%) ,2/12 (17%) ,1/15 (7%) ,5/8 (63%) ,5/8 (63%) ,75 ,72 ,22 ,26 ,4 ,8 ,4 ,8 ,8 ,8 ,9 ,9 ,71% ,29% ,11 ,6 ,2 ,1 ,6 ,3 ,3 ,2 ,3 ,2 ,1 ,3 ,0 ,1 ,null ,null ,3 ,0 ,2 ,0 ,0 ,0 ,null ,null ,null ,null ,null ,null ,8 ,5 ,3 ,1 ,1 ,1 ,278 ,112 ,242 (87%) ,84 (75%) ,19/28 (68%) ,13/28 (46%) ,2/18 (11%) ,4/6 (67%) ,5/6 (83%) ,4/7 (57%) ,69 ,53 ,33 ,19 ,10 ,6 ,7 ,7 ,4 ,8 ,2 ,17 ,
LaLiga ,20/21 ,1 ,Barcelona ,Elche CF ,null ,null ,  null statistic for game 6  with id 8966253 at round 1
LaLiga ,20/21 ,1 ,Real Madrid ,Getafe ,null ,null ,  null statistic for game 7  with id 8966256 at round 1
LaLiga ,20/21 ,1 ,Valencia ,Levante ,4 ,2 ,44% ,56% ,14 ,19 ,8 ,8 ,4 ,9 ,2 ,2 ,3 ,4 ,4 ,1 ,9 ,14 ,1 ,4 ,null ,null ,4 ,3 ,3 ,3 ,2 ,0 ,2 ,0 ,null ,null ,null ,null ,8 ,11 ,6 ,8 ,6 ,4 ,370 ,460 ,298 (81%) ,394 (86%) ,35/71 (49%) ,17/37 (46%) ,2/10 (20%) ,4/21 (19%) ,13/16 (81%) ,13/21 (62%) ,109 ,117 ,56 ,40 ,15 ,12 ,16 ,6 ,13 ,7 ,15 ,9 ,46% ,54% ,4 ,8 ,4 ,5 ,0 ,2 ,0 ,1 ,1 ,2 ,3 ,0 ,0 ,0 ,null ,null ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,null ,null ,null ,null ,2 ,7 ,2 ,1 ,3 ,2 ,196 ,226 ,163 (83%) ,187 (83%) ,17/33 (52%) ,7/22 (32%) ,2/5 (40%) ,2/9 (22%) ,6/7 (86%) ,9/12 (75%) ,49 ,60 ,24 ,19 ,6 ,5 ,5 ,3 ,9 ,5 ,7 ,3 ,41% ,59% ,10 ,11 ,4 ,3 ,4 ,7 ,2 ,1 ,2 ,2 ,1 ,1 ,1 ,4 ,null ,null ,4 ,1 ,3 ,1 ,2 ,0 ,2 ,0 ,null ,null ,null ,null ,6 ,4 ,4 ,7 ,3 ,2 ,174 ,234 ,135 (78%) ,207 (88%) ,18/38 (47%) ,10/15 (67%) ,0/5 (0%) ,2/12 (17%) ,7/9 (78%) ,4/9 (44%) ,60 ,57 ,32 ,21 ,9 ,7 ,11 ,3 ,4 ,2 ,8 ,6 ,
LaLiga ,20/21 ,1 ,Atlético Madrid ,Sevilla ,2 ,0 ,33% ,67% ,5 ,13 ,4 ,2 ,0 ,7 ,1 ,4 ,3 ,12 ,3 ,0 ,14 ,11 ,2 ,0 ,null ,null ,1 ,4 ,1 ,4 ,0 ,1 ,null ,null ,null ,null ,null ,null ,4 ,9 ,1 ,4 ,2 ,2 ,324 ,615 ,263 (81%) ,556 (90%) ,30/60 (50%) ,30/45 (67%) ,0/11 (0%) ,8/37 (22%) ,3/9 (33%) ,14/17 (82%) ,100 ,118 ,38 ,49 ,11 ,8 ,14 ,13 ,4 ,13 ,29 ,8 ,40% ,60% ,4 ,4 ,3 ,1 ,0 ,2 ,1 ,1 ,2 ,2 ,1 ,0 ,0 ,0 ,null ,null ,1 ,2 ,1 ,2 ,0 ,0 ,null ,null ,null ,null ,null ,null ,3 ,2 ,1 ,2 ,1 ,2 ,227 ,337 ,198 (87%) ,307 (91%) ,19/31 (61%) ,19/27 (70%) ,0/7 (0%) ,2/9 (22%) ,2/6 (33%) ,5/6 (83%) ,50 ,54 ,19 ,24 ,3 ,1 ,10 ,10 ,1 ,8 ,8 ,4 ,24% ,76% ,1 ,9 ,1 ,1 ,0 ,5 ,0 ,3 ,1 ,10 ,2 ,0 ,2 ,0 ,null ,null ,0 ,2 ,0 ,2 ,0 ,1 ,null ,null ,null ,null ,null ,null ,1 ,7 ,0 ,2 ,1 ,0 ,97 ,278 ,65 (67%) ,249 (90%) ,11/29 (38%) ,11/18 (61%) ,0/4 (0%) ,6/28 (21%) ,1/3 (33%) ,9/11 (82%) ,50 ,64 ,19 ,25 ,8 ,7 ,4 ,3 ,3 ,5 ,21 ,4 ,
