League , Years ,Round , Home Team , Away Team , HomeScore , Away Score , (no statistics in this season)  header
Premier League ,09/10 ,1 ,Chelsea ,Hull City ,2 ,1 ,(no statistics in this season)  here must be value
Premier League ,09/10 ,1 ,Aston Villa ,Wigan Athletic ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,09/10 ,1 ,Blackburn Rovers ,Manchester City ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,09/10 ,1 ,Bolton Wanderers ,Sunderland ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,1 ,Portsmouth ,Fulham ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,1 ,Stoke City ,Burnley ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,1 ,Wolverhampton ,West Ham United ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,09/10 ,1 ,Everton ,Arsenal ,1 ,6 , (no statistics in this season)  here must be value
Premier League ,09/10 ,1 ,Manchester United ,Birmingham City ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,1 ,Tottenham ,Liverpool ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,2 ,Sunderland ,Chelsea ,1 ,3 , (no statistics in this season)  here must be value
Premier League ,09/10 ,2 ,Wigan Athletic ,Wolverhampton ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,2 ,Birmingham City ,Portsmouth ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,2 ,Burnley ,Manchester United ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,2 ,Hull City ,Tottenham ,1 ,5 , (no statistics in this season)  here must be value
Premier League ,09/10 ,2 ,Liverpool ,Stoke City ,4 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,2 ,West Ham United ,Aston Villa ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,2 ,Fulham ,Blackburn Rovers ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,2 ,Arsenal ,Bolton Wanderers ,null ,null , the game is cancaled 8  with id 1062474 at round 2
Premier League ,09/10 ,2 ,Arsenal ,Bolton Wanderers ,4 ,2 , (no statistics in this season)  here must be value
Premier League ,09/10 ,2 ,Manchester City ,Everton ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,09/10 ,3 ,Arsenal ,Portsmouth ,4 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,3 ,Birmingham City ,Stoke City ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,3 ,Hull City ,Bolton Wanderers ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,3 ,Manchester City ,Wolverhampton ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,3 ,Sunderland ,Blackburn Rovers ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,3 ,Wigan Athletic ,Manchester United ,0 ,5 , (no statistics in this season)  here must be value
Premier League ,09/10 ,3 ,West Ham United ,Tottenham ,1 ,2 , (no statistics in this season)  here must be value
Premier League ,09/10 ,3 ,Burnley ,Everton ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,3 ,Fulham ,Chelsea ,0 ,2 , (no statistics in this season)  here must be value
Premier League ,09/10 ,3 ,Liverpool ,Aston Villa ,1 ,3 , (no statistics in this season)  here must be value
Premier League ,09/10 ,4 ,Chelsea ,Burnley ,3 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,4 ,Blackburn Rovers ,West Ham United ,0 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,4 ,Bolton Wanderers ,Liverpool ,2 ,3 , (no statistics in this season)  here must be value
Premier League ,09/10 ,4 ,Stoke City ,Sunderland ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,4 ,Tottenham ,Birmingham City ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,4 ,Wolverhampton ,Hull City ,1 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,4 ,Manchester United ,Arsenal ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,4 ,Portsmouth ,Manchester City ,0 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,4 ,Everton ,Wigan Athletic ,2 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,4 ,Aston Villa ,Fulham ,2 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,5 ,Blackburn Rovers ,Wolverhampton ,3 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,5 ,Liverpool ,Burnley ,4 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,5 ,Manchester City ,Arsenal ,4 ,2 , (no statistics in this season)  here must be value
Premier League ,09/10 ,5 ,Portsmouth ,Bolton Wanderers ,2 ,3 , (no statistics in this season)  here must be value
Premier League ,09/10 ,5 ,Stoke City ,Chelsea ,1 ,2 , (no statistics in this season)  here must be value
Premier League ,09/10 ,5 ,Sunderland ,Hull City ,4 ,1 , (no statistics in this season)  here must be value
Premier League ,09/10 ,5 ,Wigan Athletic ,West Ham United ,1 ,0 , (no statistics in this season)  here must be value
Premier League ,09/10 ,5 ,Tottenham ,Manchester United ,1 ,3 , (no statistics in this season)  here must be value
Premier League ,09/10 ,5 ,Birmingham City ,Aston Villa ,0 ,1 , (no statistics in this season)  here must be value
