League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,
Premier League ,15/16 ,1 ,Manchester United ,Tottenham ,1 ,0 ,50% ,50% ,9 ,9 ,1 ,4 ,4 ,2 ,4 ,3 ,1 ,2 ,1 ,2 ,0 ,0 ,2 ,3 ,null ,null ,null ,null ,null ,null ,6 ,8 ,4 ,1 ,4 ,1 ,487 ,487 ,401 (82%) ,391 (80%) ,43 ,55 ,8 ,11 ,50% ,50% ,5 ,6 ,0 ,2 ,1 ,2 ,4 ,2 ,1 ,1 ,0 ,2 ,0 ,1 ,null ,null ,null ,null ,null ,null ,4 ,6 ,2 ,0 ,2 ,0 ,264 ,260 ,227 (86%) ,218 (84%) ,21 ,26 ,4 ,5 ,49% ,51% ,4 ,3 ,1 ,2 ,3 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,2 ,2 ,null ,null ,null ,null ,null ,null ,2 ,2 ,2 ,1 ,2 ,1 ,223 ,227 ,174 (78%) ,173 (76%) ,22 ,29 ,4 ,6 ,
Premier League ,15/16 ,1 ,Bournemouth ,Aston Villa ,0 ,1 ,58% ,42% ,11 ,7 ,2 ,3 ,7 ,2 ,2 ,2 ,6 ,3 ,null ,null ,0 ,0 ,3 ,4 ,null ,null ,null ,null ,null ,null ,8 ,4 ,3 ,3 ,2 ,2 ,548 ,391 ,464 (85%) ,310 (79%) ,45 ,64 ,17 ,17 ,58% ,42% ,8 ,2 ,2 ,0 ,5 ,1 ,1 ,1 ,3 ,2 ,null ,null ,2 ,1 ,null ,null ,null ,null ,null ,null ,5 ,0 ,3 ,2 ,0 ,2 ,294 ,206 ,250 (85%) ,161 (78%) ,26 ,23 ,10 ,4 ,58% ,42% ,3 ,5 ,0 ,3 ,2 ,1 ,1 ,1 ,3 ,1 ,null ,null ,1 ,3 ,null ,null ,null ,null ,null ,null ,3 ,4 ,0 ,1 ,2 ,0 ,254 ,185 ,214 (84%) ,149 (81%) ,19 ,41 ,7 ,13 ,
Premier League ,15/16 ,1 ,Everton ,Watford ,2 ,2 ,66% ,34% ,10 ,11 ,5 ,5 ,3 ,3 ,2 ,3 ,8 ,2 ,4 ,1 ,0 ,0 ,1 ,2 ,null ,null ,null ,null ,0 ,1 ,6 ,5 ,4 ,6 ,3 ,3 ,558 ,286 ,451 (81%) ,200 (70%) ,53 ,72 ,20 ,29 ,65% ,35% ,4 ,5 ,2 ,2 ,1 ,1 ,1 ,2 ,4 ,1 ,0 ,1 ,0 ,1 ,null ,null ,null ,null ,0 ,0 ,2 ,2 ,2 ,3 ,1 ,2 ,309 ,163 ,253 (82%) ,117 (72%) ,25 ,38 ,9 ,14 ,68% ,32% ,6 ,6 ,3 ,3 ,2 ,2 ,1 ,1 ,4 ,1 ,4 ,0 ,1 ,1 ,null ,null ,null ,null ,0 ,1 ,4 ,3 ,2 ,3 ,2 ,1 ,249 ,123 ,198 (80%) ,83 (67%) ,28 ,34 ,11 ,15 ,
Premier League ,15/16 ,1 ,Leicester City ,Sunderland ,4 ,2 ,44% ,56% ,20 ,11 ,8 ,5 ,8 ,4 ,4 ,2 ,6 ,3 ,0 ,1 ,0 ,0 ,2 ,4 ,null ,null ,1 ,0 ,1 ,0 ,16 ,7 ,4 ,4 ,3 ,4 ,342 ,442 ,250 (73%) ,347 (79%) ,57 ,60 ,16 ,25 ,47% ,53% ,10 ,5 ,5 ,2 ,3 ,2 ,2 ,1 ,1 ,2 ,0 ,1 ,0 ,2 ,null ,null ,0 ,0 ,1 ,0 ,8 ,3 ,2 ,2 ,2 ,2 ,189 ,219 ,143 (76%) ,177 (81%) ,31 ,29 ,8 ,16 ,40% ,60% ,10 ,6 ,3 ,3 ,5 ,2 ,2 ,1 ,5 ,1 ,0 ,0 ,2 ,2 ,null ,null ,1 ,0 ,0 ,0 ,8 ,4 ,2 ,2 ,1 ,2 ,153 ,223 ,107 (70%) ,170 (76%) ,26 ,31 ,8 ,9 ,
Premier League ,15/16 ,1 ,Norwich City ,Crystal Palace ,1 ,3 ,62% ,38% ,17 ,11 ,6 ,7 ,9 ,2 ,2 ,2 ,1 ,4 ,4 ,2 ,0 ,0 ,1 ,0 ,null ,null ,null ,null ,null ,null ,6 ,8 ,11 ,3 ,4 ,4 ,470 ,272 ,388 (83%) ,200 (74%) ,50 ,46 ,10 ,8 ,64% ,36% ,8 ,6 ,1 ,3 ,6 ,1 ,1 ,2 ,1 ,0 ,1 ,2 ,1 ,0 ,null ,null ,null ,null ,null ,null ,2 ,6 ,6 ,0 ,2 ,1 ,268 ,149 ,217 (81%) ,110 (74%) ,26 ,25 ,7 ,3 ,61% ,39% ,9 ,5 ,5 ,4 ,3 ,1 ,1 ,0 ,0 ,4 ,3 ,0 ,0 ,0 ,null ,null ,null ,null ,null ,null ,4 ,2 ,5 ,3 ,2 ,3 ,202 ,123 ,171 (85%) ,90 (73%) ,24 ,21 ,3 ,5 ,
Premier League ,15/16 ,1 ,Chelsea ,Swansea City ,2 ,2 ,52% ,48% ,11 ,17 ,3 ,10 ,5 ,2 ,3 ,5 ,4 ,8 ,2 ,4 ,0 ,0 ,1 ,3 ,1 ,0 ,0 ,1 ,1 ,0 ,7 ,12 ,5 ,5 ,7 ,2 ,433 ,399 ,347 (80%) ,322 (81%) ,59 ,70 ,14 ,21 ,56% ,44% ,6 ,7 ,2 ,5 ,3 ,1 ,1 ,1 ,4 ,1 ,1 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,5 ,3 ,2 ,3 ,1 ,248 ,190 ,203 (82%) ,151 (79%) ,26 ,39 ,5 ,11 ,46% ,54% ,5 ,10 ,1 ,5 ,2 ,1 ,2 ,4 ,0 ,7 ,1 ,3 ,1 ,1 ,1 ,0 ,0 ,1 ,1 ,0 ,3 ,7 ,2 ,3 ,4 ,1 ,185 ,209 ,144 (78%) ,171 (82%) ,33 ,31 ,9 ,10 ,
Premier League ,15/16 ,1 ,Arsenal ,West Ham United ,0 ,2 ,61% ,39% ,22 ,8 ,6 ,4 ,7 ,2 ,9 ,2 ,5 ,4 ,3 ,1 ,0 ,0 ,1 ,3 ,null ,null ,null ,null ,1 ,0 ,16 ,4 ,6 ,4 ,2 ,6 ,556 ,359 ,481 (87%) ,256 (71%) ,75 ,64 ,32 ,19 ,56% ,44% ,10 ,5 ,1 ,1 ,4 ,2 ,5 ,2 ,3 ,2 ,2 ,1 ,0 ,3 ,null ,null ,null ,null ,0 ,0 ,6 ,3 ,4 ,2 ,0 ,1 ,232 ,184 ,191 (82%) ,132 (72%) ,40 ,22 ,15 ,5 ,66% ,34% ,12 ,3 ,5 ,3 ,3 ,0 ,4 ,0 ,2 ,2 ,1 ,0 ,1 ,0 ,null ,null ,null ,null ,1 ,0 ,10 ,1 ,2 ,2 ,2 ,5 ,324 ,175 ,290 (90%) ,124 (71%) ,35 ,42 ,17 ,14 ,
Premier League ,15/16 ,1 ,Newcastle United ,Southampton ,2 ,2 ,56% ,44% ,9 ,14 ,4 ,4 ,3 ,7 ,2 ,3 ,6 ,6 ,0 ,3 ,0 ,0 ,2 ,4 ,null ,null ,null ,null ,2 ,0 ,6 ,10 ,3 ,4 ,2 ,2 ,485 ,389 ,396 (82%) ,309 (79%) ,49 ,54 ,14 ,21 ,60% ,40% ,5 ,6 ,3 ,2 ,0 ,3 ,2 ,1 ,4 ,1 ,0 ,1 ,0 ,1 ,null ,null ,null ,null ,0 ,0 ,4 ,4 ,1 ,2 ,1 ,2 ,241 ,171 ,194 (80%) ,130 (76%) ,25 ,21 ,6 ,7 ,53% ,47% ,4 ,8 ,1 ,2 ,3 ,4 ,0 ,2 ,2 ,5 ,0 ,2 ,2 ,3 ,null ,null ,null ,null ,2 ,0 ,2 ,6 ,2 ,2 ,1 ,0 ,244 ,218 ,202 (83%) ,179 (82%) ,24 ,33 ,8 ,14 ,
Premier League ,15/16 ,1 ,Stoke City ,Liverpool ,0 ,1 ,47% ,53% ,7 ,8 ,1 ,3 ,4 ,1 ,2 ,4 ,3 ,5 ,3 ,2 ,0 ,0 ,2 ,4 ,null ,null ,null ,null ,null ,null ,4 ,4 ,3 ,4 ,2 ,1 ,412 ,478 ,301 (73%) ,378 (79%) ,62 ,58 ,16 ,21 ,52% ,48% ,5 ,3 ,1 ,0 ,3 ,0 ,1 ,3 ,0 ,3 ,1 ,2 ,1 ,2 ,null ,null ,null ,null ,null ,null ,3 ,1 ,2 ,2 ,0 ,1 ,242 ,225 ,183 (76%) ,172 (76%) ,30 ,33 ,8 ,14 ,41% ,59% ,2 ,5 ,0 ,3 ,1 ,1 ,1 ,1 ,3 ,2 ,2 ,0 ,1 ,2 ,null ,null ,null ,null ,null ,null ,1 ,3 ,1 ,2 ,2 ,0 ,170 ,253 ,118 (69%) ,206 (81%) ,32 ,25 ,8 ,7 ,
Premier League ,15/16 ,1 ,West Bromwich Albion ,Manchester City ,0 ,3 ,30% ,70% ,9 ,20 ,2 ,7 ,6 ,2 ,1 ,11 ,6 ,6 ,2 ,0 ,0 ,0 ,4 ,1 ,null ,null ,null ,null ,null ,null ,4 ,11 ,5 ,9 ,4 ,2 ,328 ,764 ,267 (81%) ,693 (91%) ,39 ,40 ,6 ,12 ,29% ,71% ,1 ,12 ,0 ,3 ,1 ,1 ,0 ,8 ,0 ,3 ,1 ,0 ,1 ,0 ,null ,null ,null ,null ,null ,null ,0 ,6 ,1 ,6 ,1 ,0 ,182 ,452 ,153 (84%) ,417 (92%) ,10 ,15 ,0 ,6 ,33% ,67% ,8 ,8 ,2 ,4 ,5 ,1 ,1 ,3 ,6 ,3 ,1 ,0 ,3 ,1 ,null ,null ,null ,null ,null ,null ,4 ,5 ,4 ,3 ,3 ,2 ,146 ,312 ,114 (78%) ,276 (88%) ,29 ,25 ,6 ,6 ,
