League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Big chances Home ,ALL Shots extra Big chances Away ,ALL Shots extra Big chances missed Home ,ALL Shots extra Big chances missed Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Big chances Home ,1ST Shots extra Big chances Away ,1ST Shots extra Big chances missed Home ,1ST Shots extra Big chances missed Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Big chances Home ,2ND Shots extra Big chances Away ,2ND Shots extra Big chances missed Home ,2ND Shots extra Big chances missed Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,
Premier League ,16/17 ,1 ,Hull City ,Leicester City ,2 ,1 ,49% ,51% ,14 ,18 ,5 ,5 ,7 ,9 ,2 ,4 ,5 ,3 ,1 ,0 ,8 ,17 ,2 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,7 ,9 ,7 ,9 ,4 ,3 ,449 ,453 ,343 (76%) ,352 (78%) ,66 ,50 ,19 ,18 ,56% ,44% ,7 ,10 ,2 ,1 ,5 ,6 ,0 ,3 ,3 ,2 ,1 ,0 ,0 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,5 ,6 ,2 ,4 ,1 ,1 ,276 ,216 ,225 (82%) ,168 (78%) ,31 ,25 ,7 ,10 ,42% ,58% ,7 ,8 ,3 ,4 ,2 ,3 ,2 ,1 ,2 ,1 ,0 ,0 ,2 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,2 ,3 ,5 ,5 ,3 ,2 ,173 ,237 ,118 (68%) ,184 (78%) ,35 ,25 ,12 ,8 ,
Premier League ,16/17 ,1 ,Burnley ,Swansea City ,0 ,1 ,47% ,53% ,10 ,17 ,3 ,9 ,5 ,6 ,2 ,2 ,7 ,4 ,3 ,2 ,10 ,14 ,3 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,1 ,0 ,6 ,11 ,4 ,6 ,7 ,3 ,353 ,383 ,249 (71%) ,297 (78%) ,53 ,69 ,20 ,32 ,41% ,59% ,2 ,8 ,1 ,4 ,1 ,3 ,0 ,1 ,3 ,3 ,1 ,2 ,1 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,1 ,0 ,2 ,4 ,0 ,4 ,3 ,1 ,165 ,229 ,116 (70%) ,182 (79%) ,27 ,43 ,11 ,21 ,54% ,46% ,8 ,9 ,2 ,5 ,4 ,3 ,2 ,1 ,4 ,1 ,2 ,0 ,2 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,0 ,0 ,4 ,7 ,4 ,2 ,4 ,2 ,188 ,154 ,133 (71%) ,115 (75%) ,26 ,26 ,9 ,11 ,
Premier League ,16/17 ,1 ,Crystal Palace ,West Bromwich Albion ,0 ,1 ,62% ,38% ,14 ,13 ,4 ,3 ,7 ,8 ,3 ,2 ,3 ,6 ,0 ,2 ,12 ,15 ,2 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,7 ,8 ,7 ,5 ,2 ,4 ,414 ,245 ,298 (72%) ,143 (58%) ,69 ,55 ,21 ,21 ,63% ,37% ,4 ,5 ,1 ,1 ,2 ,2 ,1 ,2 ,2 ,2 ,0 ,2 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,3 ,5 ,1 ,0 ,1 ,1 ,237 ,136 ,179 (76%) ,81 (60%) ,34 ,24 ,11 ,8 ,61% ,39% ,10 ,8 ,3 ,2 ,5 ,6 ,2 ,0 ,1 ,4 ,0 ,0 ,2 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,4 ,3 ,6 ,5 ,1 ,3 ,177 ,109 ,119 (67%) ,62 (57%) ,35 ,31 ,10 ,13 ,
Premier League ,16/17 ,1 ,Everton ,Tottenham ,1 ,1 ,42% ,58% ,12 ,13 ,6 ,4 ,4 ,4 ,2 ,5 ,5 ,6 ,5 ,0 ,10 ,14 ,null ,null ,null ,null ,null ,null ,null ,null ,0 ,1 ,null ,null ,6 ,8 ,6 ,5 ,3 ,5 ,361 ,483 ,262 (73%) ,384 (80%) ,63 ,50 ,16 ,10 ,41% ,59% ,7 ,4 ,5 ,1 ,1 ,1 ,1 ,2 ,2 ,1 ,3 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,0 ,0 ,null ,null ,6 ,2 ,1 ,2 ,1 ,4 ,195 ,277 ,138 (71%) ,220 (79%) ,34 ,34 ,9 ,6 ,43% ,57% ,5 ,9 ,1 ,3 ,3 ,3 ,1 ,3 ,3 ,5 ,2 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,0 ,1 ,null ,null ,0 ,6 ,5 ,3 ,2 ,1 ,166 ,206 ,124 (75%) ,164 (80%) ,29 ,16 ,7 ,4 ,
Premier League ,16/17 ,1 ,Middlesbrough ,Stoke City ,1 ,1 ,45% ,55% ,12 ,12 ,2 ,1 ,6 ,9 ,4 ,2 ,9 ,6 ,1 ,2 ,18 ,14 ,3 ,5 ,null ,null ,null ,null ,null ,null ,2 ,0 ,0 ,1 ,8 ,7 ,4 ,5 ,0 ,1 ,349 ,420 ,262 (75%) ,330 (79%) ,60 ,73 ,22 ,27 ,43% ,57% ,7 ,4 ,1 ,0 ,3 ,4 ,3 ,0 ,5 ,4 ,1 ,1 ,2 ,2 ,null ,null ,null ,null ,null ,null ,2 ,0 ,0 ,1 ,4 ,3 ,3 ,1 ,0 ,0 ,175 ,230 ,134 (77%) ,187 (81%) ,33 ,35 ,13 ,14 ,47% ,53% ,5 ,8 ,1 ,1 ,3 ,5 ,1 ,2 ,4 ,2 ,0 ,1 ,1 ,3 ,null ,null ,null ,null ,null ,null ,0 ,0 ,0 ,0 ,4 ,4 ,1 ,4 ,0 ,1 ,174 ,190 ,128 (74%) ,143 (75%) ,27 ,38 ,9 ,13 ,
Premier League ,16/17 ,1 ,Southampton ,Watford ,1 ,1 ,64% ,36% ,24 ,5 ,6 ,1 ,10 ,4 ,8 ,0 ,6 ,2 ,1 ,0 ,8 ,12 ,1 ,2 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,11 ,1 ,13 ,4 ,0 ,6 ,583 ,325 ,495 (85%) ,224 (69%) ,44 ,60 ,9 ,19 ,61% ,39% ,7 ,3 ,3 ,1 ,4 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,2 ,1 ,5 ,2 ,0 ,4 ,306 ,190 ,254 (83%) ,138 (73%) ,21 ,27 ,5 ,9 ,67% ,33% ,17 ,2 ,3 ,0 ,6 ,2 ,8 ,0 ,5 ,2 ,1 ,0 ,1 ,2 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,9 ,0 ,8 ,2 ,0 ,2 ,277 ,135 ,241 (87%) ,86 (64%) ,23 ,33 ,4 ,10 ,
Premier League ,16/17 ,1 ,Manchester City ,Sunderland ,2 ,1 ,76% ,24% ,16 ,7 ,4 ,3 ,8 ,2 ,4 ,2 ,9 ,6 ,1 ,2 ,11 ,14 ,1 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,9 ,4 ,8 ,3 ,2 ,3 ,681 ,189 ,585 (86%) ,104 (55%) ,46 ,59 ,16 ,21 ,74% ,26% ,8 ,5 ,3 ,2 ,5 ,1 ,0 ,2 ,2 ,3 ,0 ,0 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,3 ,3 ,5 ,2 ,2 ,2 ,349 ,107 ,306 (88%) ,68 (64%) ,25 ,31 ,9 ,15 ,79% ,21% ,8 ,2 ,1 ,1 ,3 ,1 ,4 ,0 ,7 ,3 ,1 ,2 ,1 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,6 ,1 ,3 ,1 ,0 ,1 ,332 ,82 ,279 (84%) ,36 (44%) ,21 ,28 ,7 ,6 ,
Premier League ,16/17 ,1 ,Bournemouth ,Manchester United ,1 ,3 ,47% ,53% ,9 ,11 ,3 ,7 ,2 ,2 ,4 ,2 ,4 ,2 ,3 ,4 ,7 ,10 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,6 ,8 ,3 ,3 ,4 ,2 ,483 ,561 ,412 (85%) ,488 (87%) ,44 ,50 ,8 ,8 ,51% ,49% ,3 ,5 ,0 ,3 ,2 ,1 ,1 ,1 ,0 ,2 ,1 ,1 ,0 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1 ,4 ,2 ,1 ,2 ,0 ,274 ,267 ,237 (86%) ,230 (86%) ,17 ,17 ,3 ,6 ,42% ,58% ,6 ,6 ,3 ,4 ,0 ,1 ,3 ,1 ,4 ,0 ,2 ,3 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,5 ,4 ,1 ,2 ,2 ,2 ,209 ,294 ,175 (84%) ,258 (88%) ,27 ,33 ,5 ,2 ,
Premier League ,16/17 ,1 ,Arsenal ,Liverpool ,3 ,4 ,50% ,50% ,9 ,16 ,5 ,7 ,3 ,3 ,1 ,6 ,5 ,4 ,4 ,3 ,13 ,17 ,3 ,3 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,6 ,12 ,3 ,4 ,3 ,2 ,485 ,479 ,386 (80%) ,380 (79%) ,70 ,62 ,22 ,17 ,50% ,50% ,6 ,8 ,3 ,3 ,2 ,3 ,1 ,2 ,3 ,0 ,3 ,1 ,1 ,3 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,4 ,5 ,2 ,3 ,2 ,2 ,241 ,238 ,186 (77%) ,185 (78%) ,36 ,32 ,13 ,8 ,51% ,49% ,3 ,8 ,2 ,4 ,1 ,0 ,0 ,4 ,2 ,4 ,1 ,2 ,2 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,2 ,7 ,1 ,1 ,1 ,0 ,244 ,241 ,200 (82%) ,195 (81%) ,34 ,30 ,9 ,9 ,
Premier League ,16/17 ,1 ,Chelsea ,West Ham United ,2 ,1 ,61% ,39% ,16 ,7 ,6 ,3 ,6 ,2 ,4 ,2 ,7 ,1 ,1 ,1 ,16 ,16 ,5 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,9 ,4 ,7 ,3 ,2 ,4 ,556 ,350 ,480 (86%) ,257 (73%) ,71 ,68 ,24 ,25 ,61% ,39% ,7 ,1 ,2 ,0 ,4 ,1 ,1 ,0 ,3 ,0 ,1 ,0 ,2 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,4 ,0 ,3 ,1 ,0 ,2 ,289 ,189 ,253 (88%) ,148 (78%) ,37 ,33 ,11 ,13 ,62% ,38% ,9 ,6 ,4 ,3 ,2 ,1 ,3 ,2 ,4 ,1 ,0 ,1 ,3 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,5 ,4 ,4 ,2 ,2 ,2 ,267 ,161 ,227 (85%) ,109 (68%) ,34 ,35 ,13 ,12 ,
