League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Big chances Home ,ALL Shots extra Big chances Away ,ALL Shots extra Big chances missed Home ,ALL Shots extra Big chances missed Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Passes Long balls Home ,ALL Passes Long balls Away ,ALL Passes Crosses Home ,ALL Passes Crosses Away ,ALL Duels Dribbles Home ,ALL Duels Dribbles Away ,ALL Duels Possession lost Home ,ALL Duels Possession lost Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,ALL Defending Tackles Home ,ALL Defending Tackles Away ,ALL Defending Interceptions Home ,ALL Defending Interceptions Away ,ALL Defending Clearances Home ,ALL Defending Clearances Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Big chances Home ,1ST Shots extra Big chances Away ,1ST Shots extra Big chances missed Home ,1ST Shots extra Big chances missed Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Passes Long balls Home ,1ST Passes Long balls Away ,1ST Passes Crosses Home ,1ST Passes Crosses Away ,1ST Duels Dribbles Home ,1ST Duels Dribbles Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,1ST Defending Tackles Home ,1ST Defending Tackles Away ,1ST Defending Interceptions Home ,1ST Defending Interceptions Away ,1ST Defending Clearances Home ,1ST Defending Clearances Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Big chances Home ,2ND Shots extra Big chances Away ,2ND Shots extra Big chances missed Home ,2ND Shots extra Big chances missed Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Passes Long balls Home ,2ND Passes Long balls Away ,2ND Passes Crosses Home ,2ND Passes Crosses Away ,2ND Duels Dribbles Home ,2ND Duels Dribbles Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,2ND Defending Tackles Home ,2ND Defending Tackles Away ,2ND Defending Interceptions Home ,2ND Defending Interceptions Away ,2ND Defending Clearances Home ,2ND Defending Clearances Away ,
Premier League ,17/18 ,1 ,Arsenal ,Leicester City ,4 ,3 ,70% ,30% ,27 ,6 ,10 ,3 ,9 ,3 ,8 ,0 ,9 ,4 ,5 ,3 ,9 ,12 ,0 ,1 ,null ,null ,4 ,2 ,3 ,0 ,null ,null ,null ,null ,15 ,5 ,12 ,1 ,0 ,6 ,632 ,263 ,538 (85%) ,167 (63%) ,null ,null ,null ,null ,null ,null ,146 ,158 ,69 ,48 ,18 ,18 ,null ,null ,null ,null ,null ,null ,71% ,29% ,11 ,4 ,4 ,2 ,3 ,2 ,4 ,0 ,4 ,3 ,2 ,2 ,0 ,0 ,null ,null ,2 ,2 ,1 ,0 ,null ,null ,null ,null ,6 ,4 ,5 ,0 ,0 ,2 ,353 ,131 ,305 (86%) ,89 (68%) ,null ,null ,null ,null ,null ,null ,33 ,24 ,7 ,10 ,null ,null ,null ,null ,null ,null ,68% ,32% ,16 ,2 ,6 ,1 ,6 ,1 ,4 ,0 ,5 ,1 ,3 ,1 ,0 ,1 ,null ,null ,2 ,0 ,2 ,0 ,null ,null ,null ,null ,9 ,1 ,7 ,1 ,0 ,4 ,279 ,132 ,233 (84%) ,78 (59%) ,null ,null ,null ,null ,null ,null ,36 ,24 ,11 ,8 ,null ,null ,null ,null ,null ,null ,
Premier League ,17/18 ,1 ,Watford ,Liverpool ,3 ,3 ,45% ,55% ,9 ,14 ,4 ,5 ,4 ,8 ,1 ,1 ,3 ,3 ,3 ,1 ,14 ,8 ,0 ,3 ,null ,null ,null ,null ,null ,null ,0 ,1 ,null ,null ,6 ,13 ,3 ,1 ,2 ,1 ,395 ,477 ,277 (70%) ,352 (74%) ,null ,null ,null ,null ,null ,null ,173 ,178 ,60 ,64 ,22 ,25 ,null ,null ,null ,null ,null ,null ,43% ,57% ,4 ,3 ,2 ,1 ,1 ,2 ,1 ,0 ,2 ,1 ,2 ,1 ,0 ,1 ,null ,null ,null ,null ,null ,null ,0 ,0 ,null ,null ,3 ,3 ,1 ,0 ,0 ,0 ,209 ,268 ,145 (69%) ,202 (75%) ,null ,null ,null ,null ,null ,null ,31 ,32 ,12 ,12 ,null ,null ,null ,null ,null ,null ,48% ,52% ,5 ,11 ,2 ,4 ,3 ,6 ,0 ,1 ,1 ,2 ,1 ,0 ,0 ,2 ,null ,null ,null ,null ,null ,null ,0 ,1 ,null ,null ,3 ,10 ,2 ,1 ,2 ,1 ,186 ,209 ,132 (71%) ,150 (72%) ,null ,null ,null ,null ,null ,null ,29 ,32 ,10 ,13 ,null ,null ,null ,null ,null ,null ,
Premier League ,17/18 ,1 ,Chelsea ,Burnley ,2 ,3 ,61% ,39% ,19 ,10 ,6 ,5 ,6 ,4 ,7 ,1 ,8 ,5 ,2 ,1 ,16 ,11 ,5 ,3 ,2 ,0 ,2 ,0 ,null ,null ,0 ,1 ,null ,null ,7 ,8 ,12 ,2 ,2 ,4 ,521 ,320 ,446 (86%) ,241 (75%) ,null ,null ,null ,null ,null ,null ,127 ,111 ,41 ,46 ,17 ,22 ,null ,null ,null ,null ,null ,null ,57% ,43% ,5 ,5 ,0 ,4 ,1 ,1 ,4 ,0 ,1 ,2 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,null ,null ,0 ,0 ,null ,null ,0 ,5 ,5 ,0 ,1 ,0 ,284 ,214 ,248 (87%) ,169 (79%) ,null ,null ,null ,null ,null ,null ,15 ,21 ,6 ,9 ,null ,null ,null ,null ,null ,null ,68% ,32% ,14 ,5 ,6 ,1 ,5 ,3 ,3 ,1 ,7 ,3 ,2 ,1 ,3 ,3 ,1 ,0 ,2 ,0 ,null ,null ,0 ,1 ,null ,null ,7 ,3 ,7 ,2 ,1 ,4 ,237 ,106 ,198 (84%) ,72 (68%) ,null ,null ,null ,null ,null ,null ,26 ,25 ,11 ,13 ,null ,null ,null ,null ,null ,null ,
Premier League ,17/18 ,1 ,Crystal Palace ,Huddersfield Town ,0 ,3 ,56% ,44% ,14 ,9 ,4 ,6 ,7 ,3 ,3 ,0 ,12 ,9 ,0 ,2 ,7 ,19 ,1 ,3 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,10 ,7 ,4 ,3 ,4 ,4 ,391 ,306 ,304 (78%) ,199 (65%) ,null ,null ,null ,null ,null ,null ,157 ,158 ,79 ,56 ,18 ,16 ,null ,null ,null ,null ,null ,null ,55% ,45% ,5 ,6 ,1 ,4 ,3 ,2 ,1 ,0 ,5 ,5 ,0 ,1 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,4 ,5 ,1 ,2 ,3 ,1 ,197 ,161 ,152 (77%) ,106 (66%) ,null ,null ,null ,null ,null ,null ,40 ,31 ,9 ,11 ,null ,null ,null ,null ,null ,null ,58% ,42% ,9 ,3 ,3 ,2 ,4 ,1 ,2 ,0 ,7 ,4 ,0 ,1 ,1 ,2 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,6 ,2 ,3 ,1 ,1 ,3 ,194 ,145 ,152 (78%) ,93 (64%) ,null ,null ,null ,null ,null ,null ,39 ,25 ,9 ,5 ,null ,null ,null ,null ,null ,null ,
Premier League ,17/18 ,1 ,Everton ,Stoke City ,1 ,0 ,61% ,39% ,9 ,9 ,4 ,1 ,3 ,6 ,2 ,2 ,6 ,7 ,2 ,6 ,13 ,10 ,1 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,5 ,4 ,4 ,5 ,1 ,3 ,497 ,292 ,392 (79%) ,211 (72%) ,null ,null ,null ,null ,null ,null ,159 ,160 ,47 ,64 ,19 ,25 ,null ,null ,null ,null ,null ,null ,63% ,37% ,4 ,4 ,2 ,0 ,2 ,3 ,0 ,1 ,2 ,4 ,2 ,3 ,0 ,1 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1 ,1 ,3 ,3 ,0 ,1 ,280 ,150 ,228 (81%) ,112 (75%) ,null ,null ,null ,null ,null ,null ,21 ,20 ,10 ,7 ,null ,null ,null ,null ,null ,null ,59% ,41% ,5 ,5 ,2 ,1 ,1 ,3 ,2 ,1 ,4 ,3 ,0 ,3 ,1 ,0 ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,4 ,3 ,1 ,2 ,1 ,2 ,217 ,142 ,164 (76%) ,99 (70%) ,null ,null ,null ,null ,null ,null ,26 ,44 ,9 ,18 ,null ,null ,null ,null ,null ,null ,
Premier League ,17/18 ,1 ,Southampton ,Swansea City ,0 ,0 ,59% ,41% ,29 ,4 ,2 ,0 ,16 ,2 ,11 ,2 ,13 ,0 ,0 ,1 ,10 ,13 ,2 ,1 ,null ,null ,2 ,0 ,2 ,0 ,1 ,0 ,null ,null ,16 ,3 ,13 ,1 ,0 ,2 ,518 ,365 ,432 (83%) ,284 (78%) ,null ,null ,null ,null ,null ,null ,136 ,115 ,47 ,42 ,17 ,18 ,null ,null ,null ,null ,null ,null ,53% ,47% ,13 ,2 ,1 ,0 ,8 ,1 ,4 ,1 ,5 ,0 ,0 ,1 ,2 ,0 ,null ,null ,1 ,0 ,1 ,0 ,1 ,0 ,null ,null ,9 ,1 ,4 ,1 ,0 ,1 ,218 ,203 ,181 (83%) ,166 (82%) ,null ,null ,null ,null ,null ,null ,25 ,22 ,14 ,9 ,null ,null ,null ,null ,null ,null ,65% ,35% ,16 ,2 ,1 ,0 ,8 ,1 ,7 ,1 ,8 ,0 ,0 ,0 ,0 ,1 ,null ,null ,1 ,0 ,1 ,0 ,0 ,0 ,null ,null ,7 ,2 ,9 ,0 ,0 ,1 ,300 ,162 ,251 (84%) ,118 (73%) ,null ,null ,null ,null ,null ,null ,22 ,20 ,3 ,9 ,null ,null ,null ,null ,null ,null ,
Premier League ,17/18 ,1 ,West Bromwich Albion ,Bournemouth ,1 ,0 ,28% ,72% ,16 ,9 ,6 ,2 ,9 ,2 ,1 ,5 ,8 ,2 ,2 ,0 ,15 ,3 ,3 ,1 ,null ,null ,1 ,0 ,null ,null ,null ,null ,null ,null ,11 ,5 ,5 ,4 ,2 ,5 ,242 ,612 ,157 (65%) ,527 (86%) ,null ,null ,null ,null ,null ,null ,130 ,136 ,34 ,52 ,12 ,18 ,null ,null ,null ,null ,null ,null ,30% ,70% ,11 ,2 ,4 ,0 ,6 ,1 ,1 ,1 ,3 ,1 ,1 ,0 ,1 ,0 ,null ,null ,1 ,0 ,null ,null ,null ,null ,null ,null ,8 ,1 ,3 ,1 ,0 ,3 ,130 ,303 ,87 (67%) ,258 (85%) ,null ,null ,null ,null ,null ,null ,20 ,28 ,9 ,9 ,null ,null ,null ,null ,null ,null ,27% ,73% ,5 ,7 ,2 ,2 ,3 ,1 ,0 ,4 ,5 ,1 ,1 ,0 ,2 ,1 ,null ,null ,0 ,0 ,null ,null ,null ,null ,null ,null ,3 ,4 ,2 ,3 ,2 ,2 ,112 ,309 ,70 (63%) ,269 (87%) ,null ,null ,null ,null ,null ,null ,14 ,24 ,3 ,9 ,null ,null ,null ,null ,null ,null ,
Premier League ,17/18 ,1 ,Brighton & Hove Albion ,Manchester City ,0 ,2 ,21% ,79% ,6 ,14 ,2 ,4 ,2 ,5 ,2 ,5 ,3 ,10 ,6 ,1 ,6 ,9 ,0 ,2 ,null ,null ,null ,null ,null ,null ,0 ,1 ,null ,null ,4 ,7 ,2 ,8 ,3 ,2 ,213 ,768 ,130 (61%) ,691 (90%) ,null ,null ,null ,null ,null ,null ,114 ,127 ,38 ,35 ,13 ,13 ,null ,null ,null ,null ,null ,null ,23% ,77% ,1 ,9 ,1 ,2 ,0 ,4 ,0 ,3 ,0 ,5 ,4 ,0 ,0 ,1 ,null ,null ,null ,null ,null ,null ,0 ,1 ,null ,null ,1 ,4 ,0 ,5 ,2 ,1 ,111 ,354 ,64 (58%) ,306 (86%) ,null ,null ,null ,null ,null ,null ,22 ,14 ,10 ,7 ,null ,null ,null ,null ,null ,null ,20% ,80% ,5 ,5 ,1 ,2 ,2 ,1 ,2 ,2 ,3 ,5 ,2 ,1 ,0 ,1 ,null ,null ,null ,null ,null ,null ,0 ,0 ,null ,null ,3 ,3 ,2 ,3 ,1 ,1 ,102 ,414 ,66 (65%) ,385 (93%) ,null ,null ,null ,null ,null ,null ,16 ,21 ,3 ,6 ,null ,null ,null ,null ,null ,null ,
Premier League ,17/18 ,1 ,Newcastle United ,Tottenham ,0 ,2 ,26% ,74% ,6 ,18 ,2 ,6 ,4 ,5 ,0 ,7 ,5 ,7 ,2 ,1 ,6 ,10 ,1 ,2 ,1 ,0 ,null ,null ,null ,null ,0 ,1 ,null ,null ,6 ,10 ,0 ,8 ,4 ,2 ,245 ,702 ,157 (64%) ,628 (89%) ,null ,null ,null ,null ,null ,null ,137 ,123 ,39 ,47 ,16 ,15 ,null ,null ,null ,null ,null ,null ,32% ,68% ,1 ,9 ,0 ,2 ,1 ,4 ,0 ,3 ,4 ,4 ,2 ,0 ,0 ,1 ,0 ,0 ,null ,null ,null ,null ,0 ,0 ,null ,null ,1 ,4 ,0 ,5 ,2 ,0 ,123 ,272 ,74 (60%) ,230 (85%) ,null ,null ,null ,null ,null ,null ,28 ,30 ,11 ,10 ,null ,null ,null ,null ,null ,null ,23% ,77% ,5 ,9 ,2 ,4 ,3 ,1 ,0 ,4 ,1 ,3 ,0 ,1 ,1 ,1 ,1 ,0 ,null ,null ,null ,null ,0 ,1 ,null ,null ,5 ,6 ,0 ,3 ,2 ,2 ,122 ,430 ,83 (68%) ,398 (93%) ,null ,null ,null ,null ,null ,null ,11 ,17 ,5 ,5 ,null ,null ,null ,null ,null ,null ,
Premier League ,17/18 ,1 ,Manchester United ,West Ham United ,4 ,0 ,55% ,45% ,21 ,9 ,5 ,1 ,8 ,6 ,8 ,2 ,11 ,1 ,1 ,4 ,19 ,7 ,2 ,2 ,null ,null ,null ,null ,null ,null ,1 ,1 ,2 ,0 ,13 ,6 ,8 ,3 ,1 ,1 ,493 ,397 ,417 (85%) ,316 (80%) ,null ,null ,null ,null ,null ,null ,132 ,129 ,65 ,56 ,23 ,13 ,null ,null ,null ,null ,null ,null ,65% ,35% ,9 ,4 ,1 ,1 ,3 ,2 ,5 ,1 ,9 ,0 ,0 ,2 ,1 ,0 ,null ,null ,null ,null ,null ,null ,0 ,0 ,2 ,0 ,4 ,2 ,5 ,2 ,1 ,0 ,285 ,152 ,241 (85%) ,105 (69%) ,null ,null ,null ,null ,null ,null ,35 ,27 ,12 ,5 ,null ,null ,null ,null ,null ,null ,45% ,55% ,12 ,5 ,4 ,0 ,5 ,4 ,3 ,1 ,2 ,1 ,1 ,2 ,1 ,2 ,null ,null ,null ,null ,null ,null ,1 ,1 ,0 ,0 ,9 ,4 ,3 ,1 ,0 ,1 ,208 ,245 ,176 (85%) ,211 (86%) ,null ,null ,null ,null ,null ,null ,30 ,29 ,11 ,8 ,null ,null ,null ,null ,null ,null ,
