League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Big chances Home ,ALL Shots extra Big chances Away ,ALL Shots extra Big chances missed Home ,ALL Shots extra Big chances missed Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Passes Long balls Home ,ALL Passes Long balls Away ,ALL Passes Crosses Home ,ALL Passes Crosses Away ,ALL Duels Dribbles Home ,ALL Duels Dribbles Away ,ALL Duels Possession lost Home ,ALL Duels Possession lost Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,ALL Defending Tackles Home ,ALL Defending Tackles Away ,ALL Defending Interceptions Home ,ALL Defending Interceptions Away ,ALL Defending Clearances Home ,ALL Defending Clearances Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Big chances Home ,1ST Shots extra Big chances Away ,1ST Shots extra Big chances missed Home ,1ST Shots extra Big chances missed Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Passes Long balls Home ,1ST Passes Long balls Away ,1ST Passes Crosses Home ,1ST Passes Crosses Away ,1ST Duels Dribbles Home ,1ST Duels Dribbles Away ,1ST Duels Possession lost Home ,1ST Duels Possession lost Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,1ST Defending Tackles Home ,1ST Defending Tackles Away ,1ST Defending Interceptions Home ,1ST Defending Interceptions Away ,1ST Defending Clearances Home ,1ST Defending Clearances Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Big chances Home ,2ND Shots extra Big chances Away ,2ND Shots extra Big chances missed Home ,2ND Shots extra Big chances missed Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Passes Long balls Home ,2ND Passes Long balls Away ,2ND Passes Crosses Home ,2ND Passes Crosses Away ,2ND Duels Dribbles Home ,2ND Duels Dribbles Away ,2ND Duels Possession lost Home ,2ND Duels Possession lost Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,2ND Defending Tackles Home ,2ND Defending Tackles Away ,2ND Defending Interceptions Home ,2ND Defending Interceptions Away ,2ND Defending Clearances Home ,2ND Defending Clearances Away ,
Premier League ,18/19 ,1 ,Manchester United ,Leicester City ,2 ,1 ,46% ,54% ,8 ,13 ,6 ,4 ,1 ,3 ,1 ,6 ,2 ,5 ,4 ,2 ,11 ,8 ,2 ,1 ,null ,null ,2 ,2 ,1 ,1 ,0 ,1 ,null ,null ,5 ,5 ,3 ,8 ,3 ,4 ,485 ,543 ,399 (82%) ,450 (83%) ,32/57 (56%) ,33/54 (61%) ,1/12 (8%) ,2/27 (7%) ,11/14 (79%) ,9/18 (50%) ,139 ,164 ,53 ,47 ,10 ,13 ,26 ,14 ,17 ,12 ,37 ,14 ,46% ,54% ,4 ,5 ,3 ,2 ,0 ,0 ,1 ,3 ,0 ,4 ,1 ,2 ,0 ,0 ,null ,null ,1 ,0 ,0 ,0 ,0 ,0 ,null ,null ,3 ,1 ,1 ,4 ,2 ,2 ,251 ,274 ,209 (83%) ,228 (83%) ,14/26 (54%) ,13/20 (65%) ,0/3 (0%) ,0/12 (0%) ,4/6 (67%) ,3/6 (50%) ,null ,null ,24 ,25 ,5 ,6 ,13 ,10 ,9 ,5 ,21 ,8 ,45% ,55% ,4 ,8 ,3 ,2 ,1 ,3 ,0 ,3 ,2 ,1 ,3 ,0 ,2 ,1 ,null ,null ,1 ,2 ,1 ,1 ,0 ,1 ,null ,null ,2 ,4 ,2 ,4 ,1 ,2 ,234 ,269 ,190 (81%) ,222 (83%) ,18/31 (58%) ,20/34 (59%) ,1/9 (11%) ,2/15 (13%) ,7/8 (88%) ,6/12 (50%) ,null ,null ,29 ,22 ,5 ,7 ,13 ,4 ,8 ,7 ,16 ,6 ,
Premier League ,18/19 ,1 ,Newcastle United ,Tottenham ,1 ,2 ,40% ,60% ,15 ,15 ,2 ,5 ,8 ,7 ,5 ,3 ,3 ,5 ,1 ,0 ,11 ,12 ,2 ,2 ,null ,null ,2 ,5 ,1 ,3 ,2 ,0 ,null ,null ,9 ,12 ,6 ,3 ,3 ,1 ,387 ,573 ,268 (69%) ,467 (82%) ,29/73 (40%) ,28/63 (44%) ,3/12 (25%) ,7/17 (41%) ,16/28 (57%) ,4/9 (43%) ,184 ,166 ,75 ,62 ,33 ,21 ,15 ,27 ,21 ,10 ,17 ,43 ,39% ,61% ,7 ,9 ,1 ,2 ,3 ,4 ,3 ,3 ,1 ,2 ,0 ,0 ,0 ,1 ,null ,null ,1 ,2 ,0 ,0 ,0 ,0 ,null ,null ,4 ,8 ,3 ,1 ,0 ,0 ,203 ,313 ,145 (71%) ,264 (84%) ,15/37 (41%) ,13/25 (52%) ,2/3 (67%) ,4/7 (57%) ,8/13 (62%) ,0/4 (0%) ,null ,null ,38 ,24 ,13 ,11 ,10 ,11 ,12 ,4 ,6 ,11 ,41% ,59% ,8 ,6 ,1 ,3 ,5 ,3 ,2 ,0 ,2 ,3 ,1 ,0 ,2 ,1 ,null ,null ,1 ,3 ,1 ,3 ,2 ,0 ,null ,null ,5 ,4 ,3 ,2 ,3 ,1 ,184 ,260 ,123 (67%) ,203 (78%) ,14/36 (39%) ,15/38 (39%) ,1/9 (11%) ,3/10 (30%) ,8/15 (53%) ,4/5 (80%) ,null ,null ,37 ,38 ,20 ,10 ,5 ,16 ,9 ,6 ,11 ,32 ,
Premier League ,18/19 ,1 ,Bournemouth ,Cardiff City ,2 ,0 ,62% ,38% ,12 ,10 ,4 ,1 ,6 ,5 ,2 ,4 ,7 ,4 ,0 ,2 ,11 ,9 ,1 ,1 ,null ,null ,4 ,1 ,3 ,1 ,null ,null ,null ,null ,10 ,8 ,2 ,2 ,1 ,2 ,502 ,287 ,397 (79%) ,175 (61%) ,29/57 (51%) ,23/77 (30%) ,5/11 (45%) ,4/18 (22%) ,11/21 (52%) ,9/17 (53%) ,168 ,158 ,62 ,73 ,32 ,31 ,11 ,22 ,4 ,15 ,37 ,30 ,66% ,34% ,5 ,3 ,2 ,0 ,2 ,3 ,1 ,0 ,3 ,0 ,0 ,1 ,1 ,1 ,null ,null ,2 ,0 ,1 ,0 ,null ,null ,null ,null ,5 ,3 ,0 ,0 ,0 ,1 ,311 ,150 ,252 (81%) ,89 (59%) ,17/29 (59%) ,13/38 (34%) ,3/4 (75%) ,2/11 (18%) ,6/9 (67%) ,2/7 (29%) ,null ,null ,31 ,33 ,14 ,18 ,7 ,7 ,2 ,9 ,16 ,11 ,58% ,42% ,7 ,7 ,2 ,1 ,4 ,2 ,1 ,4 ,4 ,4 ,0 ,1 ,0 ,0 ,null ,null ,2 ,1 ,2 ,1 ,null ,null ,null ,null ,5 ,5 ,2 ,2 ,1 ,1 ,191 ,137 ,145 (76%) ,86 (63%) ,12/28 (43%) ,10/39 (26%) ,2/7 (29%) ,2/7 (29%) ,5/12 (42%) ,7/10 (70%) ,null ,null ,31 ,40 ,18 ,13 ,4 ,15 ,2 ,6 ,21 ,19 ,
Premier League ,18/19 ,1 ,Fulham ,Crystal Palace ,0 ,2 ,66% ,34% ,15 ,12 ,6 ,10 ,4 ,0 ,5 ,2 ,5 ,5 ,2 ,3 ,9 ,11 ,1 ,2 ,null ,null ,0 ,2 ,0 ,1 ,0 ,1 ,null ,null ,6 ,8 ,9 ,4 ,8 ,6 ,672 ,347 ,591 (88%) ,258 (74%) ,40/70 (57%) ,24/55 (43%) ,8/32 (25%) ,4/12 (33%) ,9/15 (60%) ,13/22 (59%) ,144 ,143 ,55 ,63 ,10 ,20 ,25 ,21 ,15 ,14 ,22 ,30 ,67% ,33% ,8 ,5 ,3 ,4 ,2 ,0 ,3 ,1 ,3 ,1 ,0 ,2 ,1 ,1 ,null ,null ,0 ,0 ,0 ,0 ,0 ,1 ,null ,null ,2 ,3 ,6 ,2 ,3 ,3 ,380 ,187 ,341 (90%) ,147 (79%) ,21/36 (58%) ,13/23 (57%) ,3/15 (20%) ,2/4 (50%) ,3/5 (60%) ,7/13 (54%) ,null ,null ,26 ,31 ,4 ,12 ,15 ,8 ,8 ,7 ,8 ,17 ,65% ,35% ,7 ,7 ,3 ,6 ,2 ,0 ,2 ,1 ,2 ,4 ,2 ,1 ,0 ,1 ,null ,null ,0 ,2 ,0 ,1 ,0 ,0 ,null ,null ,4 ,5 ,3 ,2 ,5 ,3 ,292 ,160 ,250 (86%) ,111 (69%) ,19/34 (56%) ,11/32 (34%) ,5/17 (29%) ,2/8 (25%) ,6/10 (60%) ,6/9 (67%) ,null ,null ,29 ,32 ,6 ,8 ,10 ,13 ,7 ,7 ,14 ,13 ,
Premier League ,18/19 ,1 ,Huddersfield Town ,Chelsea ,0 ,3 ,37% ,63% ,6 ,13 ,1 ,4 ,4 ,3 ,1 ,6 ,2 ,5 ,2 ,1 ,9 ,8 ,2 ,1 ,null ,null ,1 ,3 ,1 ,1 ,2 ,1 ,null ,null ,4 ,10 ,2 ,3 ,1 ,1 ,372 ,658 ,281 (76%) ,582 (88%) ,46/87 (53%) ,29/52 (56%) ,6/23 (26%) ,5/11 (45%) ,6/11 (55%) ,17/21 (81%) ,145 ,134 ,60 ,53 ,22 ,17 ,25 ,12 ,16 ,9 ,13 ,21 ,40% ,60% ,3 ,3 ,1 ,2 ,2 ,0 ,0 ,1 ,1 ,1 ,2 ,1 ,1 ,0 ,null ,null ,1 ,1 ,1 ,0 ,1 ,0 ,null ,null ,1 ,3 ,2 ,0 ,0 ,1 ,192 ,301 ,138 (72%) ,259 (86%) ,27/52 (52%) ,15/28 (54%) ,4/15 (27%) ,1/3 (33%) ,2/6 (33%) ,9/10 (90%) ,null ,null ,31 ,33 ,13 ,14 ,14 ,7 ,9 ,5 ,4 ,15 ,34% ,66% ,3 ,10 ,0 ,2 ,2 ,3 ,1 ,5 ,1 ,4 ,0 ,0 ,1 ,1 ,null ,null ,0 ,2 ,0 ,1 ,1 ,1 ,null ,null ,3 ,7 ,0 ,3 ,1 ,0 ,180 ,357 ,143 (79%) ,323 (90%) ,19/35 (54%) ,14/24 (58%) ,2/8 (25%) ,4/8 (50%) ,4/5 (80%) ,8/11 (73%) ,null ,null ,29 ,20 ,9 ,3 ,11 ,5 ,7 ,4 ,9 ,6 ,
Premier League ,18/19 ,1 ,Watford ,Brighton & Hove Albion ,2 ,0 ,53% ,47% ,19 ,6 ,5 ,0 ,9 ,5 ,5 ,1 ,8 ,2 ,0 ,3 ,10 ,16 ,2 ,2 ,null ,null ,2 ,0 ,2 ,0 ,null ,null ,null ,null ,12 ,5 ,7 ,1 ,0 ,3 ,437 ,385 ,328 (75%) ,297 (77%) ,34/79 (43%) ,40/79 (51%) ,7/20 (35%) ,4/15 (27%) ,8/14 (57%) ,9/11 (82%) ,159 ,139 ,55 ,60 ,16 ,24 ,17 ,17 ,11 ,17 ,11 ,26 ,53% ,47% ,13 ,3 ,3 ,0 ,6 ,2 ,4 ,1 ,5 ,1 ,0 ,0 ,0 ,1 ,null ,null ,1 ,0 ,1 ,0 ,null ,null ,null ,null ,9 ,3 ,4 ,0 ,0 ,2 ,234 ,202 ,178 (76%) ,158 (78%) ,18/42 (43%) ,23/40 (57%) ,6/10 (60%) ,3/10 (30%) ,4/8 (50%) ,3/4 (75%) ,null ,null ,20 ,29 ,8 ,12 ,5 ,11 ,6 ,7 ,7 ,14 ,53% ,47% ,6 ,3 ,2 ,0 ,3 ,3 ,1 ,0 ,3 ,1 ,0 ,3 ,2 ,1 ,null ,null ,1 ,0 ,1 ,0 ,null ,null ,null ,null ,3 ,2 ,3 ,1 ,0 ,1 ,203 ,183 ,150 (74%) ,139 (76%) ,16/37 (43%) ,17/39 (44%) ,1/10 (10%) ,1/5 (20%) ,4/6 (67%) ,6/7 (86%) ,null ,null ,35 ,31 ,8 ,12 ,12 ,6 ,5 ,10 ,4 ,12 ,
Premier League ,18/19 ,1 ,Wolverhampton ,Everton ,2 ,2 ,57% ,43% ,11 ,8 ,4 ,5 ,5 ,3 ,2 ,0 ,3 ,6 ,2 ,3 ,8 ,7 ,0 ,1 ,0 ,1 ,2 ,1 ,1 ,0 ,null ,null ,null ,null ,3 ,7 ,8 ,1 ,3 ,2 ,547 ,409 ,452 (83%) ,307 (75%) ,35/69 (51%) ,22/68 (32%) ,5/25 (20%) ,3/15 (20%) ,9/18 (50%) ,2/7 (29%) ,162 ,152 ,50 ,55 ,21 ,24 ,13 ,23 ,9 ,11 ,23 ,28 ,53% ,47% ,4 ,3 ,2 ,3 ,2 ,0 ,0 ,0 ,1 ,4 ,1 ,2 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,null ,null ,null ,null ,0 ,3 ,4 ,0 ,2 ,1 ,243 ,201 ,189 (78%) ,154 (77%) ,16/39 (41%) ,9/32 (28%) ,0/7 (0%) ,1/12 (8%) ,5/8 (63%) ,1/2 (50%) ,null ,null ,29 ,23 ,14 ,12 ,6 ,8 ,3 ,7 ,17 ,10 ,60% ,40% ,7 ,5 ,2 ,2 ,3 ,3 ,2 ,0 ,2 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,null ,null ,null ,null ,3 ,4 ,4 ,1 ,1 ,1 ,304 ,208 ,263 (87%) ,153 (74%) ,19/30 (63%) ,13/36 (36%) ,5/18 (28%) ,2/3 (67%) ,4/10 (40%) ,1/5 (20%) ,null ,null ,21 ,32 ,7 ,12 ,7 ,15 ,6 ,4 ,6 ,18 ,
Premier League ,18/19 ,1 ,Liverpool ,West Ham United ,4 ,0 ,64% ,36% ,18 ,5 ,8 ,2 ,7 ,2 ,3 ,1 ,5 ,4 ,5 ,3 ,14 ,9 ,1 ,2 ,null ,null ,5 ,0 ,2 ,0 ,null ,null ,null ,null ,13 ,4 ,5 ,1 ,2 ,4 ,673 ,360 ,606 (90%) ,297 (83%) ,31/43 (72%) ,27/54 (50%) ,7/21 (33%) ,2/12 (17%) ,7/15 (47%) ,7/15 (47%) ,124 ,113 ,38 ,54 ,7 ,10 ,19 ,23 ,9 ,11 ,8 ,20 ,66% ,34% ,8 ,3 ,5 ,1 ,2 ,1 ,1 ,1 ,1 ,3 ,2 ,1 ,1 ,0 ,null ,null ,4 ,0 ,2 ,0 ,null ,null ,null ,null ,7 ,3 ,1 ,0 ,1 ,3 ,359 ,183 ,321 (89%) ,146 (80%) ,23/29 (79%) ,11/26 (42%) ,4/12 (33%) ,1/5 (20%) ,4/10 (40%) ,3/7 (43%) ,null ,null ,20 ,28 ,4 ,5 ,11 ,14 ,6 ,5 ,4 ,10 ,63% ,37% ,10 ,2 ,3 ,1 ,5 ,1 ,2 ,0 ,4 ,1 ,3 ,2 ,0 ,2 ,null ,null ,1 ,0 ,0 ,0 ,null ,null ,null ,null ,6 ,1 ,4 ,1 ,1 ,1 ,314 ,177 ,285 (91%) ,151 (85%) ,8/14 (57%) ,16/28 (57%) ,3/9 (33%) ,1/7 (14%) ,3/5 (60%) ,4/8 (50%) ,null ,null ,18 ,26 ,3 ,5 ,8 ,9 ,3 ,6 ,4 ,10 ,
Premier League ,18/19 ,1 ,Southampton ,Burnley ,0 ,0 ,47% ,53% ,18 ,16 ,3 ,6 ,6 ,6 ,9 ,4 ,8 ,5 ,2 ,5 ,10 ,9 ,0 ,1 ,null ,null ,1 ,2 ,1 ,2 ,null ,null ,0 ,1 ,9 ,10 ,9 ,6 ,6 ,3 ,369 ,408 ,280 (76%) ,311 (76%) ,25/61 (41%) ,36/69 (52%) ,8/20 (40%) ,3/20 (15%) ,8/14 (57%) ,3/11 (27%) ,132 ,144 ,57 ,50 ,25 ,28 ,16 ,9 ,4 ,5 ,31 ,35 ,41% ,59% ,6 ,12 ,1 ,4 ,3 ,5 ,2 ,3 ,2 ,4 ,1 ,3 ,0 ,1 ,null ,null ,0 ,2 ,0 ,2 ,null ,null ,0 ,1 ,2 ,7 ,4 ,5 ,4 ,1 ,162 ,223 ,119 (73%) ,183 (82%) ,8/25 (32%) ,18/33 (55%) ,3/8 (38%) ,2/16 (13%) ,5/9 (56%) ,3/7 (43%) ,null ,null ,29 ,26 ,12 ,12 ,6 ,5 ,3 ,1 ,18 ,14 ,53% ,47% ,12 ,4 ,2 ,2 ,3 ,1 ,7 ,1 ,6 ,1 ,1 ,2 ,0 ,0 ,null ,null ,1 ,0 ,1 ,0 ,null ,null ,0 ,0 ,7 ,3 ,5 ,1 ,2 ,2 ,207 ,185 ,161 (78%) ,128 (69%) ,17/36 (47%) ,18/36 (50%) ,5/12 (42%) ,1/4 (25%) ,3/5 (60%) ,0/4 (0%) ,null ,null ,28 ,24 ,13 ,16 ,10 ,4 ,1 ,4 ,13 ,21 ,
Premier League ,18/19 ,1 ,Arsenal ,Manchester City ,0 ,2 ,42% ,58% ,9 ,17 ,3 ,8 ,4 ,5 ,2 ,4 ,2 ,9 ,7 ,2 ,11 ,14 ,2 ,2 ,null ,null ,1 ,2 ,1 ,2 ,null ,null ,0 ,1 ,5 ,8 ,4 ,9 ,6 ,3 ,401 ,555 ,320 (80%) ,467 (84%) ,29/53 (55%) ,25/52 (48%) ,1/12 (8%) ,1/15 (7%) ,5/7 (71%) ,9/15 (60%) ,127 ,144 ,54 ,34 ,14 ,8 ,22 ,6 ,12 ,12 ,23 ,9 ,39% ,61% ,4 ,8 ,2 ,4 ,1 ,3 ,1 ,1 ,0 ,6 ,2 ,1 ,1 ,1 ,null ,null ,0 ,1 ,0 ,1 ,null ,null ,0 ,0 ,2 ,5 ,2 ,3 ,3 ,2 ,202 ,301 ,153 (76%) ,259 (86%) ,11/25 (44%) ,13/23 (57%) ,0/5 (0%) ,1/10 (10%) ,5/5 (100%) ,6/8 (75%) ,null ,null ,34 ,12 ,11 ,2 ,12 ,1 ,6 ,8 ,11 ,2 ,44% ,56% ,5 ,9 ,1 ,4 ,3 ,2 ,1 ,3 ,2 ,3 ,5 ,1 ,1 ,1 ,null ,null ,1 ,1 ,1 ,1 ,null ,null ,0 ,1 ,3 ,3 ,2 ,6 ,3 ,1 ,199 ,254 ,167 (84%) ,208 (82%) ,18/28 (64%) ,12/29 (41%) ,1/7 (14%) ,0/5 (0%) ,0/2 (0%) ,3/7 (43%) ,null ,null ,20 ,22 ,3 ,6 ,10 ,5 ,6 ,4 ,12 ,7 ,
