League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Big chances Home ,ALL Shots extra Big chances Away ,ALL Shots extra Big chances missed Home ,ALL Shots extra Big chances missed Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Counter attack shots Home ,ALL Shots extra Counter attack shots Away ,ALL Shots extra Counter attack goals Home ,ALL Shots extra Counter attack goals Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Passes Long balls Home ,ALL Passes Long balls Away ,ALL Passes Crosses Home ,ALL Passes Crosses Away ,ALL Duels Dribbles Home ,ALL Duels Dribbles Away ,ALL Duels Possession lost Home ,ALL Duels Possession lost Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,ALL Defending Tackles Home ,ALL Defending Tackles Away ,ALL Defending Interceptions Home ,ALL Defending Interceptions Away ,ALL Defending Clearances Home ,ALL Defending Clearances Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Big chances Home ,1ST Shots extra Big chances Away ,1ST Shots extra Big chances missed Home ,1ST Shots extra Big chances missed Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Counter attack shots Home ,1ST Shots extra Counter attack shots Away ,1ST Shots extra Counter attack goals Home ,1ST Shots extra Counter attack goals Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Passes Long balls Home ,1ST Passes Long balls Away ,1ST Passes Crosses Home ,1ST Passes Crosses Away ,1ST Duels Dribbles Home ,1ST Duels Dribbles Away ,1ST Duels Possession lost Home ,1ST Duels Possession lost Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,1ST Defending Tackles Home ,1ST Defending Tackles Away ,1ST Defending Interceptions Home ,1ST Defending Interceptions Away ,1ST Defending Clearances Home ,1ST Defending Clearances Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Big chances Home ,2ND Shots extra Big chances Away ,2ND Shots extra Big chances missed Home ,2ND Shots extra Big chances missed Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Counter attack shots Home ,2ND Shots extra Counter attack shots Away ,2ND Shots extra Counter attack goals Home ,2ND Shots extra Counter attack goals Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Passes Long balls Home ,2ND Passes Long balls Away ,2ND Passes Crosses Home ,2ND Passes Crosses Away ,2ND Duels Dribbles Home ,2ND Duels Dribbles Away ,2ND Duels Possession lost Home ,2ND Duels Possession lost Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,2ND Defending Tackles Home ,2ND Defending Tackles Away ,2ND Defending Interceptions Home ,2ND Defending Interceptions Away ,2ND Defending Clearances Home ,2ND Defending Clearances Away ,
Premier League ,20/21 ,1 ,Fulham ,Arsenal ,0 ,3 ,45% ,55% ,5 ,13 ,2 ,6 ,2 ,4 ,1 ,3 ,2 ,3 ,2 ,2 ,12 ,12 ,2 ,2 ,null ,null ,0 ,3 ,0 ,1 ,0 ,1 ,null ,null ,null ,null ,null ,null ,1 ,9 ,4 ,4 ,2 ,2 ,523 ,626 ,461 (88%) ,562 (90%) ,32/55 (58%) ,31/52 (60%) ,2/15 (13%) ,4/16 (25%) ,6/12 (50%) ,6/9 (67%) ,107 ,99 ,36 ,35 ,8 ,7 ,11 ,12 ,10 ,18 ,7 ,11 ,49% ,51% ,2 ,7 ,1 ,3 ,0 ,3 ,1 ,1 ,1 ,0 ,1 ,1 ,1 ,1 ,null ,null ,0 ,2 ,0 ,1 ,0 ,1 ,null ,null ,null ,null ,null ,null ,1 ,5 ,1 ,2 ,2 ,1 ,298 ,312 ,265 (89%) ,278 (89%) ,18/33 (55%) ,21/30 (70%) ,2/9 (22%) ,2/7 (29%) ,3/7 (43%) ,1/2 (50%) ,59 ,47 ,17 ,18 ,5 ,4 ,3 ,9 ,7 ,6 ,2 ,5 ,41% ,59% ,3 ,6 ,1 ,3 ,2 ,1 ,0 ,2 ,1 ,3 ,1 ,1 ,1 ,1 ,null ,null ,0 ,1 ,0 ,0 ,0 ,0 ,null ,null ,null ,null ,null ,null ,0 ,4 ,3 ,2 ,0 ,1 ,225 ,314 ,196 (87%) ,284 (90%) ,14/22 (64%) ,10/22 (45%) ,0/6 (0%) ,2/9 (22%) ,3/5 (60%) ,5/7 (71%) ,48 ,52 ,19 ,17 ,3 ,3 ,8 ,3 ,3 ,12 ,5 ,6 ,
Premier League ,20/21 ,1 ,Crystal Palace ,Southampton ,1 ,0 ,29% ,71% ,5 ,9 ,3 ,5 ,2 ,3 ,0 ,1 ,7 ,3 ,4 ,0 ,14 ,11 ,2 ,1 ,null ,null ,3 ,2 ,2 ,2 ,null ,null ,3 ,0 ,null ,null ,null ,null ,5 ,7 ,0 ,2 ,5 ,2 ,236 ,580 ,121 (51%) ,458 (79%) ,19/73 (26%) ,33/74 (45%) ,8/16 (50%) ,3/18 (17%) ,10/15 (67%) ,6/11 (55%) ,194 ,177 ,65 ,77 ,30 ,30 ,15 ,28 ,12 ,9 ,22 ,15 ,28% ,72% ,2 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,3 ,2 ,3 ,0 ,1 ,0 ,null ,null ,2 ,0 ,1 ,0 ,null ,null ,2 ,0 ,null ,null ,null ,null ,2 ,2 ,0 ,0 ,2 ,1 ,114 ,298 ,62 (54%) ,241 (81%) ,12/33 (36%) ,16/39 (41%) ,4/7 (57%) ,1/7 (14%) ,5/5 (100%) ,3/4 (75%) ,94 ,84 ,31 ,34 ,13 ,11 ,8 ,13 ,6 ,6 ,7 ,7 ,30% ,70% ,3 ,7 ,1 ,3 ,2 ,3 ,0 ,1 ,4 ,1 ,1 ,0 ,1 ,1 ,null ,null ,1 ,2 ,1 ,2 ,null ,null ,1 ,0 ,null ,null ,null ,null ,3 ,5 ,0 ,2 ,3 ,1 ,122 ,282 ,59 (48%) ,217 (77%) ,7/40 (18%) ,17/35 (49%) ,4/9 (44%) ,2/11 (18%) ,5/10 (50%) ,3/7 (43%) ,100 ,93 ,34 ,43 ,17 ,19 ,7 ,15 ,6 ,3 ,15 ,8 ,
Premier League ,20/21 ,1 ,Burnley ,Manchester United ,null ,null ,  null statistic for game 2  with id 8896804 at round 1
Premier League ,20/21 ,1 ,Manchester City ,Aston Villa ,null ,null ,  null statistic for game 3  with id 8896805 at round 1
Premier League ,20/21 ,1 ,Liverpool ,Leeds United ,4 ,3 ,48% ,52% ,22 ,6 ,6 ,3 ,3 ,1 ,13 ,2 ,9 ,0 ,2 ,5 ,9 ,6 ,1 ,0 ,null ,null ,3 ,0 ,null ,null ,null ,null ,1 ,0 ,null ,null ,null ,null ,17 ,4 ,5 ,2 ,0 ,3 ,432 ,459 ,328 (76%) ,347 (76%) ,14/59 (24%) ,29/70 (41%) ,4/20 (20%) ,3/9 (33%) ,19/32 (59%) ,9/13 (69%) ,185 ,163 ,51 ,64 ,14 ,12 ,13 ,34 ,14 ,12 ,11 ,34 ,49% ,51% ,9 ,2 ,4 ,2 ,0 ,0 ,5 ,0 ,3 ,0 ,2 ,3 ,0 ,0 ,null ,null ,2 ,0 ,null ,null ,null ,null ,0 ,0 ,null ,null ,null ,null ,8 ,2 ,1 ,0 ,0 ,2 ,245 ,251 ,197 (80%) ,197 (78%) ,11/31 (35%) ,16/35 (46%) ,1/6 (17%) ,1/6 (17%) ,11/20 (55%) ,7/8 (88%) ,86 ,80 ,21 ,31 ,2 ,1 ,6 ,20 ,8 ,4 ,6 ,13 ,48% ,52% ,13 ,4 ,2 ,1 ,3 ,1 ,8 ,2 ,6 ,0 ,0 ,2 ,1 ,0 ,null ,null ,1 ,0 ,null ,null ,null ,null ,1 ,0 ,null ,null ,null ,null ,9 ,2 ,4 ,2 ,0 ,1 ,187 ,208 ,131 (70%) ,150 (72%) ,3/28 (11%) ,13/35 (37%) ,3/14 (21%) ,2/3 (67%) ,8/12 (67%) ,2/5 (40%) ,99 ,83 ,30 ,33 ,12 ,11 ,7 ,14 ,6 ,8 ,5 ,21 ,
Premier League ,20/21 ,1 ,West Ham United ,Newcastle United ,0 ,2 ,58% ,42% ,15 ,15 ,3 ,2 ,5 ,7 ,7 ,6 ,8 ,7 ,2 ,4 ,13 ,7 ,2 ,2 ,null ,null ,0 ,1 ,null ,null ,2 ,0 ,1 ,2 ,null ,null ,null ,null ,10 ,10 ,5 ,5 ,0 ,3 ,474 ,342 ,393 (83%) ,266 (78%) ,21/52 (40%) ,34/72 (47%) ,4/30 (13%) ,7/20 (35%) ,5/10 (50%) ,9/15 (60%) ,132 ,123 ,41 ,57 ,17 ,25 ,14 ,13 ,7 ,5 ,18 ,28 ,57% ,43% ,8 ,9 ,1 ,0 ,3 ,6 ,4 ,3 ,2 ,4 ,1 ,2 ,0 ,1 ,null ,null ,0 ,0 ,null ,null ,2 ,0 ,1 ,1 ,null ,null ,null ,null ,6 ,7 ,2 ,2 ,0 ,1 ,225 ,159 ,188 (84%) ,129 (81%) ,13/26 (50%) ,19/34 (56%) ,1/8 (13%) ,7/13 (54%) ,2/3 (67%) ,3/5 (60%) ,53 ,54 ,22 ,20 ,11 ,5 ,7 ,5 ,4 ,3 ,12 ,9 ,58% ,42% ,7 ,6 ,2 ,2 ,2 ,1 ,3 ,3 ,6 ,3 ,1 ,2 ,2 ,1 ,null ,null ,0 ,1 ,null ,null ,0 ,0 ,0 ,1 ,null ,null ,null ,null ,4 ,3 ,3 ,3 ,0 ,2 ,249 ,183 ,205 (82%) ,137 (75%) ,8/26 (31%) ,15/38 (39%) ,3/22 (14%) ,0/7 (0%) ,3/7 (43%) ,6/10 (60%) ,79 ,69 ,19 ,37 ,6 ,20 ,7 ,8 ,3 ,2 ,6 ,19 ,
Premier League ,20/21 ,1 ,West Bromwich Albion ,Leicester City ,0 ,3 ,35% ,65% ,7 ,13 ,1 ,7 ,3 ,3 ,3 ,3 ,2 ,5 ,4 ,3 ,12 ,9 ,1 ,1 ,null ,null ,0 ,4 ,0 ,1 ,null ,null ,0 ,1 ,null ,null ,null ,null ,3 ,11 ,4 ,2 ,4 ,1 ,336 ,604 ,255 (76%) ,511 (85%) ,37/68 (54%) ,23/51 (45%) ,0/9 (0%) ,1/17 (6%) ,3/12 (25%) ,9/12 (75%) ,134 ,132 ,35 ,46 ,16 ,9 ,7 ,17 ,10 ,14 ,13 ,14 ,35% ,65% ,5 ,6 ,1 ,3 ,2 ,2 ,2 ,1 ,2 ,1 ,4 ,2 ,0 ,1 ,null ,null ,0 ,1 ,0 ,1 ,null ,null ,0 ,1 ,null ,null ,null ,null ,2 ,6 ,3 ,0 ,3 ,1 ,187 ,349 ,155 (83%) ,309 (89%) ,26/38 (68%) ,10/19 (53%) ,0/6 (0%) ,0/6 (0%) ,1/7 (14%) ,4/6 (67%) ,64 ,59 ,19 ,21 ,8 ,1 ,4 ,12 ,6 ,5 ,3 ,6 ,36% ,64% ,2 ,7 ,0 ,4 ,1 ,1 ,1 ,2 ,0 ,4 ,0 ,1 ,1 ,0 ,null ,null ,0 ,3 ,0 ,0 ,null ,null ,0 ,0 ,null ,null ,null ,null ,1 ,5 ,1 ,2 ,1 ,0 ,149 ,255 ,100 (67%) ,202 (79%) ,11/30 (37%) ,13/32 (41%) ,0/3 (0%) ,1/11 (9%) ,2/5 (40%) ,5/6 (83%) ,70 ,73 ,16 ,25 ,8 ,8 ,3 ,5 ,4 ,9 ,10 ,8 ,
Premier League ,20/21 ,1 ,Tottenham ,Everton ,0 ,1 ,51% ,49% ,9 ,15 ,5 ,4 ,1 ,7 ,3 ,4 ,5 ,3 ,0 ,1 ,15 ,7 ,1 ,0 ,null ,null ,2 ,2 ,2 ,2 ,null ,null ,1 ,0 ,null ,null ,null ,null ,8 ,10 ,1 ,5 ,3 ,5 ,552 ,529 ,470 (85%) ,450 (85%) ,19/44 (43%) ,41/73 (56%) ,6/24 (25%) ,2/12 (17%) ,5/8 (63%) ,18/20 (90%) ,138 ,116 ,38 ,65 ,18 ,15 ,9 ,19 ,4 ,19 ,17 ,36 ,49% ,51% ,5 ,6 ,3 ,1 ,0 ,3 ,2 ,2 ,2 ,2 ,0 ,0 ,0 ,0 ,null ,null ,2 ,1 ,2 ,1 ,null ,null ,1 ,0 ,null ,null ,null ,null ,4 ,3 ,1 ,3 ,1 ,3 ,271 ,289 ,231 (85%) ,254 (88%) ,10/23 (43%) ,19/29 (66%) ,1/11 (9%) ,1/7 (14%) ,1/4 (25%) ,7/8 (88%) ,67 ,55 ,16 ,29 ,6 ,10 ,5 ,10 ,3 ,9 ,9 ,21 ,54% ,46% ,4 ,9 ,2 ,3 ,1 ,4 ,1 ,2 ,3 ,1 ,0 ,1 ,1 ,0 ,null ,null ,0 ,1 ,0 ,1 ,null ,null ,0 ,0 ,null ,null ,null ,null ,4 ,7 ,0 ,2 ,2 ,2 ,281 ,240 ,239 (85%) ,196 (82%) ,9/21 (43%) ,22/44 (50%) ,5/13 (38%) ,1/5 (20%) ,4/4 (100%) ,11/12 (92%) ,71 ,61 ,22 ,36 ,12 ,5 ,4 ,9 ,1 ,10 ,8 ,15 ,
Premier League ,20/21 ,1 ,Sheffield United ,Wolverhampton ,0 ,2 ,55% ,45% ,9 ,11 ,2 ,4 ,5 ,5 ,2 ,2 ,12 ,5 ,4 ,0 ,13 ,7 ,2 ,1 ,null ,null ,1 ,3 ,1 ,2 ,1 ,2 ,0 ,5 ,null ,null ,null ,null ,8 ,7 ,1 ,4 ,2 ,1 ,460 ,391 ,373 (81%) ,307 (79%) ,29/59 (49%) ,46/88 (52%) ,7/43 (16%) ,6/15 (40%) ,6/13 (46%) ,14/22 (64%) ,156 ,131 ,59 ,69 ,31 ,28 ,16 ,14 ,9 ,13 ,10 ,35 ,51% ,49% ,1 ,4 ,1 ,3 ,0 ,1 ,0 ,0 ,4 ,2 ,3 ,0 ,2 ,0 ,null ,null ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,null ,null ,null ,null ,1 ,3 ,0 ,1 ,1 ,1 ,217 ,206 ,171 (79%) ,170 (83%) ,14/30 (47%) ,22/39 (56%) ,3/16 (19%) ,4/10 (40%) ,0/5 (0%) ,9/14 (64%) ,80 ,66 ,32 ,35 ,21 ,11 ,8 ,8 ,7 ,6 ,7 ,17 ,58% ,42% ,8 ,7 ,1 ,1 ,5 ,4 ,2 ,2 ,8 ,3 ,1 ,0 ,0 ,1 ,null ,null ,1 ,2 ,1 ,2 ,1 ,2 ,0 ,3 ,null ,null ,null ,null ,7 ,4 ,1 ,3 ,1 ,0 ,243 ,185 ,202 (83%) ,137 (74%) ,15/29 (52%) ,24/49 (49%) ,4/27 (15%) ,2/5 (40%) ,6/8 (75%) ,5/8 (63%) ,76 ,65 ,27 ,34 ,10 ,17 ,8 ,6 ,2 ,7 ,3 ,18 ,
Premier League ,20/21 ,1 ,Brighton & Hove Albion ,Chelsea ,1 ,3 ,52% ,48% ,13 ,10 ,3 ,5 ,6 ,2 ,4 ,3 ,4 ,3 ,0 ,3 ,8 ,13 ,1 ,0 ,null ,null ,2 ,1 ,2 ,0 ,null ,null ,0 ,2 ,null ,null ,null ,null ,7 ,7 ,6 ,3 ,2 ,2 ,507 ,465 ,414 (82%) ,387 (83%) ,39/64 (61%) ,33/65 (51%) ,3/14 (21%) ,3/13 (23%) ,8/16 (50%) ,5/12 (42%) ,136 ,122 ,46 ,42 ,10 ,13 ,17 ,16 ,15 ,25 ,8 ,15 ,58% ,42% ,7 ,5 ,1 ,2 ,4 ,2 ,2 ,1 ,3 ,1 ,0 ,2 ,0 ,0 ,null ,null ,1 ,1 ,1 ,0 ,null ,null ,0 ,1 ,null ,null ,null ,null ,3 ,4 ,4 ,1 ,1 ,1 ,270 ,190 ,218 (81%) ,151 (79%) ,19/33 (58%) ,14/29 (48%) ,1/7 (14%) ,1/5 (20%) ,3/5 (60%) ,4/8 (50%) ,75 ,58 ,19 ,25 ,7 ,9 ,5 ,6 ,5 ,14 ,6 ,10 ,46% ,54% ,6 ,5 ,2 ,3 ,2 ,0 ,2 ,2 ,1 ,2 ,0 ,1 ,1 ,0 ,null ,null ,1 ,0 ,1 ,0 ,null ,null ,0 ,1 ,null ,null ,null ,null ,4 ,3 ,2 ,2 ,1 ,1 ,237 ,275 ,196 (83%) ,236 (86%) ,20/31 (65%) ,19/36 (53%) ,2/7 (29%) ,2/8 (25%) ,5/11 (45%) ,1/4 (25%) ,61 ,64 ,27 ,17 ,3 ,4 ,12 ,10 ,10 ,11 ,2 ,5 ,
