PlayerName,FirstName,LastName,ShortName,Slug,Position,Reason,Time,AddedTime,IsHome,IncidentClass,IncidentType,GameID
Emiliano Buendía,,,E. Buendía,emiliano-buendia,M,Foul,65,null,false,yellow,card,5321
Moritz Leitner,,,M. Leitner,moritz-leitner,M,Foul,60,null,false,yellow,card,5321
Raheem Sterling,,,R. Sterling,raheem-sterling,F,Foul,90,3,false,yellow,card,5322
Kyle Walker,,,K. Walker,kyle-walker,D,Foul,87,null,false,yellow,card,5322
Felipe Anderson,,,F. Anderson,felipe-anderson,M,Foul,62,null,true,yellow,card,5322
Fabián Balbuena,,,F. Balbuena,fabian-balbuena,D,Foul,61,null,true,yellow,card,5322
John Fleck,,,J. Fleck,john-fleck,M,Foul,78,null,false,yellow,card,5323
Ryan Fraser,,,R. Fraser,ryan-fraser,M,Argument,64,null,true,yellow,card,5323
Adam Smith,,,A. Smith,adam-smith,D,Foul,43,null,true,yellow,card,5323
Morgan Schneiderlin,,,M. Schneiderlin,morgan-schneiderlin,M,Foul,76,null,false,yellowRed,card,5325
Luka Milivojević,,,L. Milivojević,luka-milivojevic,M,Persistent fouling,55,null,true,yellow,card,5325
Morgan Schneiderlin,,,M. Schneiderlin,morgan-schneiderlin,M,Argument,54,null,false,yellow,card,5325
Bernard,,,Bernard,bernard,F,Foul,52,null,false,yellow,card,5325
Max Meyer,,,M. Meyer,max-meyer,M,Foul,38,null,true,yellow,card,5325
Lewis Dunk,,,L. Dunk,lewis-dunk,D,Foul,88,null,false,yellow,card,5326
Érik Lamela,,,É. Lamela,erik-lamela,M,Time wasting,87,null,true,yellow,card,5327
Ruben Neves,,,R. Neves,ruben-neves,M,Argument,60,null,false,yellow,card,5328
Jonny Castro,,,J. Otto,jonny-otto,M,Foul,31,null,false,yellow,card,5328
Granit Xhaka,,,G. Xhaka,granit-xhaka,M,Foul,81,null,false,yellow,card,5329
Henrikh Mkhitaryan,,,H. Mkhitaryan,henrikh-mkhitaryan,F,Foul,37,null,false,yellow,card,5329
Reiss Nelson,,,R. Nelson,reiss-nelson,F,Foul,25,null,false,yellow,card,5329
Miguel Almirón,,,M. Almirón,miguel-almiron,M,Simulation,18,null,true,yellow,card,5329
N'Golo Kanté,,,N. Kanté,ngolo-kante,M,Foul,90,null,false,yellow,card,5330
Anthony Martial,,,A. Martial,anthony-martial,F,Argument,80,null,true,yellow,card,5330
Victor Lindelöf,,,V. Lindelöf,victor-lindelof,D,Time wasting,69,null,true,yellow,card,5330
Tammy Abraham,,,T. Abraham,tammy-abraham,F,Foul,57,null,false,yellow,card,5330
Jorginho,,,Jorginho,jorginho,M,Foul,52,null,false,yellow,card,5330
Jesse Lingard,,,J. Lingard,jesse-lingard,M,Foul,48,null,true,yellow,card,5330
Kurt Zouma,,,K. Zouma,kurt-zouma,D,Foul,36,null,false,yellow,card,5330
Ashley Barnes,,,A. Barnes,ashley-barnes,F,Off the ball foul,90,5,false,yellow,card,5331
David Luiz,,,D. Luiz,david-luiz,D,Time wasting,90,1,true,yellow,card,5331
Pierre-Emerick Aubameyang,,,P. Aubameyang,pierre-emerick-aubameyang,F,null,38,null,true,yellow,card,5331
Nathan Aké,,,N. Aké,nathan-ake,D,Foul,59,null,false,yellow,card,5332
Philip Billing,,,P. Billing,philip-billing,M,Foul,36,null,false,yellow,card,5332
Declan Rice,,,D. Rice,declan-rice,M,Foul,90,4,false,yellow,card,5333
Arthur Masuaku,,,A. Masuaku,arthur-masuaku,D,Foul,76,null,false,yellow,card,5333
Roberto Pereyra,,,R. Pereyra,roberto-pereyra,M,Simulation,62,null,false,yellow,card,5334
José Holebas,,,J. Holebas,jose-holebas,D,Foul,59,null,false,yellow,card,5334
André Gomes,,,A. Gomes,andre-gomes,M,Foul,47,null,true,yellow,card,5334
Étienne Capoue,,,É. Capoue,etienne-capoue,M,Foul,31,null,false,yellow,card,5334
Séamus Coleman,,,S. Coleman,seamus-coleman,D,Foul,14,null,true,yellow,card,5334
Sean Longstaff,,,S. Longstaff,sean-longstaff,M,Foul,90,1,false,yellow,card,5335
Paul Dummett,,,P. Dummett,paul-dummett,D,Foul,85,null,false,yellow,card,5335
Joelinton,,,Joelinton,joelinton,F,Foul,44,null,false,yellow,card,5335
Max Aarons,,,M. Aarons,max-aarons,D,Foul,37,null,true,yellow,card,5335
Moussa Djenepo,,,M. Djenepo,moussa-djenepo,M,Foul,84,null,true,yellow,card,5336
Trent Alexander-Arnold,,,T. Alexander-Arnold,trent-alexander-arnold,D,Foul,79,null,false,yellow,card,5336
Oriol Romeu,,,O. Romeu,oriol-romeu,M,Foul,36,null,true,yellow,card,5336
Raheem Sterling,,,R. Sterling,raheem-sterling,F,Foul,26,null,true,yellow,card,5337
Luke Freeman,,,L. Freeman,luke-freeman,M,Foul,85,null,true,yellow,card,5338
James McCarthy,,,J. McCarthy,james-mccarthy,M,Argument,74,null,false,yellow,card,5338
George Baldock,,,G. Baldock,george-baldock,M,Foul,74,null,true,yellow,card,5338
John Lundstram,,,J. Lundstram,john-lundstram,M,Foul,7,null,true,yellow,card,5338
Jorginho,,,Jorginho,jorginho,M,Foul,37,null,true,yellow,card,5339
Aaron Wan-Bissaka,,,A. Wan-Bissaka,aaron-wan-bissaka,D,Handball,84,null,false,yellow,card,5340
Ryan Bennett,,,R. Bennett,ryan-bennett,D,Foul,67,null,true,yellow,card,5340
Rúben Neves,,,R. Neves,ruben-neves,M,Persistent fouling,51,null,true,yellow,card,5340
Daniel James,,,D. James,james-daniel,M,Simulation,24,null,false,yellow,card,5340
Séamus Coleman,,,S. Coleman,seamus-coleman,D,Argument,85,null,false,yellow,card,5341
Mahmoud Trezeguet,,,Trezeguet,trezeguet,M,null,85,null,true,yellow,card,5341
André Gomes,,,A. Gomes,andre-gomes,M,null,80,null,false,yellow,card,5341
Dominic Calvert-Lewin,,,D. Calvert-Lewin,dominic-calvert-lewin,F,Foul,52,null,false,yellow,card,5341
Frédéric Guilbert,,,F. Guilbert,frederic-guilbert,D,Foul,5,null,true,yellow,card,5341
Marco Stiepermann,,,M. Stiepermann,marco-stiepermann,M,Persistent fouling,43,null,true,yellow,card,5342
Jorginho,,,Jorginho,jorginho,M,Foul,33,null,false,yellow,card,5342
