Text,HomeScore,AwayScore,IsLive,Time,AddedTime,IncidentType,GameID
FT,4,1,false,90,999,period,5321
HT,4,0,false,45,999,period,5321
FT,0,5,false,90,999,period,5322
HT,0,1,false,45,999,period,5322
FT,1,1,false,90,999,period,5323
HT,0,0,false,45,999,period,5323
FT,3,0,false,90,999,period,5324
HT,0,0,false,45,999,period,5324
FT,0,0,false,90,999,period,5325
HT,0,0,false,45,999,period,5325
FT,0,3,false,90,999,period,5326
HT,0,1,false,45,999,period,5326
FT,3,1,false,90,999,period,5327
HT,0,1,false,45,999,period,5327
FT,0,0,false,90,999,period,5328
HT,0,0,false,45,999,period,5328
FT,0,1,false,90,999,period,5329
HT,0,0,false,45,999,period,5329
FT,4,0,false,90,999,period,5330
HT,1,0,false,45,999,period,5330
FT,2,1,false,90,999,period,5331
HT,1,1,false,45,999,period,5331
FT,1,2,false,90,999,period,5332
HT,0,2,false,45,999,period,5332
FT,1,1,false,90,999,period,5333
HT,0,0,false,45,999,period,5333
FT,1,0,false,90,999,period,5334
HT,1,0,false,45,999,period,5334
FT,3,1,false,90,999,period,5335
HT,1,0,false,45,999,period,5335
FT,1,2,false,90,999,period,5336
HT,0,1,false,45,999,period,5336
FT,2,2,false,90,999,period,5337
HT,2,1,false,45,999,period,5337
FT,1,0,false,90,999,period,5338
HT,0,0,false,45,999,period,5338
FT,1,1,false,90,999,period,5339
HT,1,0,false,45,999,period,5339
FT,1,1,false,90,999,period,5340
HT,0,1,false,45,999,period,5340
FT,2,0,false,90,999,period,5341
HT,1,0,false,45,999,period,5341
FT,2,3,false,90,999,period,5342
HT,2,2,false,45,999,period,5342
FT,0,2,false,90,999,period,5343
HT,0,0,false,45,999,period,5343
FT,1,2,false,90,999,period,5344
HT,0,1,false,45,999,period,5344
FT,1,2,false,90,999,period,5345
HT,0,1,false,45,999,period,5345
FT,1,3,false,90,999,period,5346
HT,1,1,false,45,999,period,5346
FT,3,1,false,90,999,period,5347
HT,1,0,false,45,999,period,5347
FT,1,3,false,90,999,period,5348
HT,1,2,false,45,999,period,5348
FT,0,1,false,90,999,period,5349
HT,0,1,false,45,999,period,5349
FT,1,1,false,90,999,period,5350
HT,0,1,false,45,999,period,5350
FT,1,1,false,90,999,period,5351
HT,0,1,false,45,999,period,5351
FT,2,2,false,90,999,period,5352
HT,2,0,false,45,999,period,5352
FT,1,0,false,90,999,period,5353
HT,0,0,false,45,999,period,5353
FT,3,1,false,90,999,period,5354
HT,2,1,false,45,999,period,5354
FT,4,0,false,90,999,period,5355
HT,2,0,false,45,999,period,5355
FT,1,1,false,90,999,period,5356
HT,1,1,false,45,999,period,5356
FT,2,0,false,90,999,period,5357
HT,1,0,false,45,999,period,5357
FT,0,3,false,90,999,period,5358
HT,0,2,false,45,999,period,5358
FT,3,2,false,90,999,period,5359
HT,2,1,false,45,999,period,5359
FT,2,2,false,90,999,period,5360
HT,1,2,false,45,999,period,5360
FT,3,1,false,90,999,period,5361
HT,2,1,false,45,999,period,5361
FT,1,1,false,90,999,period,5362
HT,0,0,false,45,999,period,5362
FT,1,0,false,90,999,period,5363
HT,1,0,false,45,999,period,5363
FT,0,1,false,90,999,period,5364
HT,0,0,false,45,999,period,5364
FT,4,0,false,90,999,period,5365
HT,4,0,false,45,999,period,5365
FT,2,5,false,90,999,period,5366
HT,0,3,false,45,999,period,5366
FT,3,2,false,90,999,period,5367
HT,2,1,false,45,999,period,5367
FT,3,1,false,90,999,period,5368
HT,1,1,false,45,999,period,5368
FT,2,2,false,90,999,period,5369
HT,0,2,false,45,999,period,5369
FT,0,0,false,90,999,period,5370
HT,0,0,false,45,999,period,5370
FT,1,3,false,90,999,period,5371
HT,0,2,false,45,999,period,5371
FT,2,1,false,90,999,period,5372
HT,0,1,false,45,999,period,5372
FT,2,0,false,90,999,period,5373
HT,2,0,false,45,999,period,5373
FT,0,2,false,90,999,period,5374
HT,0,1,false,45,999,period,5374
FT,8,0,false,90,999,period,5375
HT,5,0,false,45,999,period,5375
FT,0,0,false,90,999,period,5376
HT,0,0,false,45,999,period,5376
FT,1,1,false,90,999,period,5377
HT,0,0,false,45,999,period,5377
FT,2,0,false,90,999,period,5378
HT,1,0,false,45,999,period,5378
FT,3,2,false,90,999,period,5379
HT,0,1,false,45,999,period,5379
FT,1,2,false,90,999,period,5380
HT,0,2,false,45,999,period,5380
FT,0,1,false,90,999,period,5381
HT,0,0,false,45,999,period,5381
FT,2,2,false,90,999,period,5382
HT,1,0,false,45,999,period,5382
FT,2,2,false,90,999,period,5383
HT,1,1,false,45,999,period,5383
FT,2,0,false,90,999,period,5384
HT,0,0,false,45,999,period,5384
FT,2,0,false,90,999,period,5385
HT,1,0,false,45,999,period,5385
FT,2,1,false,90,999,period,5386
HT,2,1,false,45,999,period,5386
FT,2,0,false,90,999,period,5387
HT,1,0,false,45,999,period,5387
FT,1,3,false,90,999,period,5388
HT,1,1,false,45,999,period,5388
FT,5,0,false,90,999,period,5389
HT,1,0,false,45,999,period,5389
FT,1,1,false,90,999,period,5390
HT,1,0,false,45,999,period,5390
FT,3,0,false,90,999,period,5391
HT,2,0,false,45,999,period,5391
FT,1,0,false,90,999,period,5392
HT,0,0,false,45,999,period,5392
FT,2,1,false,90,999,period,5393
HT,1,0,false,45,999,period,5393
FT,1,5,false,90,999,period,5394
HT,0,2,false,45,999,period,5394
FT,0,0,false,90,999,period,5395
HT,0,0,false,45,999,period,5395
FT,1,2,false,90,999,period,5396
HT,0,0,false,45,999,period,5396
FT,1,0,false,90,999,period,5397
HT,1,0,false,45,999,period,5397
FT,0,2,false,90,999,period,5398
HT,0,0,false,45,999,period,5398
FT,1,4,false,90,999,period,5399
HT,1,3,false,45,999,period,5399
FT,1,0,false,90,999,period,5400
HT,0,0,false,45,999,period,5400
FT,2,0,false,90,999,period,5401
HT,1,0,false,45,999,period,5401
FT,2,1,false,90,999,period,5402
HT,1,1,false,45,999,period,5402
FT,0,0,false,90,999,period,5403
HT,0,0,false,45,999,period,5403
FT,1,0,false,90,999,period,5404
HT,0,0,false,45,999,period,5404
FT,2,1,false,90,999,period,5405
HT,1,1,false,45,999,period,5405
FT,1,1,false,90,999,period,5406
HT,0,1,false,45,999,period,5406
FT,1,1,false,90,999,period,5407
HT,0,0,false,45,999,period,5407
FT,0,2,false,90,999,period,5408
HT,0,2,false,45,999,period,5408
FT,1,1,false,90,999,period,5409
HT,1,0,false,45,999,period,5409
FT,1,0,false,90,999,period,5410
HT,1,0,false,45,999,period,5410
FT,0,9,false,90,999,period,5411
HT,0,5,false,45,999,period,5411
FT,3,0,false,90,999,period,5412
HT,0,0,false,45,999,period,5412
FT,3,2,false,90,999,period,5413
HT,1,1,false,45,999,period,5413
FT,0,0,false,90,999,period,5414
HT,0,0,false,45,999,period,5414
FT,1,1,false,90,999,period,5415
HT,1,0,false,45,999,period,5415
FT,2,4,false,90,999,period,5416
HT,0,2,false,45,999,period,5416
FT,1,1,false,90,999,period,5417
HT,1,0,false,45,999,period,5417
FT,2,2,false,90,999,period,5418
HT,2,1,false,45,999,period,5418
FT,2,1,false,90,999,period,5419
HT,0,1,false,45,999,period,5419
FT,1,3,false,90,999,period,5420
HT,0,2,false,45,999,period,5420
FT,1,0,false,90,999,period,5421
HT,1,0,false,45,999,period,5421
FT,1,1,false,90,999,period,5422
HT,1,0,false,45,999,period,5422
FT,1,2,false,90,999,period,5423
HT,1,0,false,45,999,period,5423
FT,2,0,false,90,999,period,5424
HT,0,0,false,45,999,period,5424
FT,2,1,false,90,999,period,5425
HT,0,1,false,45,999,period,5425
FT,3,0,false,90,999,period,5426
HT,3,0,false,45,999,period,5426
FT,2,3,false,90,999,period,5427
HT,0,2,false,45,999,period,5427
FT,1,2,false,90,999,period,5428
HT,0,1,false,45,999,period,5428
FT,0,2,false,90,999,period,5429
HT,0,0,false,45,999,period,5429
FT,1,1,false,90,999,period,5430
HT,0,0,false,45,999,period,5430
FT,0,2,false,90,999,period,5431
HT,0,1,false,45,999,period,5431
FT,2,0,false,90,999,period,5432
HT,0,0,false,45,999,period,5432
FT,3,0,false,90,999,period,5433
HT,2,0,false,45,999,period,5433
FT,2,1,false,90,999,period,5434
HT,1,1,false,45,999,period,5434
FT,1,2,false,90,999,period,5435
HT,0,1,false,45,999,period,5435
FT,1,1,false,90,999,period,5436
HT,0,0,false,45,999,period,5436
FT,2,0,false,90,999,period,5437
HT,0,0,false,45,999,period,5437
FT,3,1,false,90,999,period,5438
HT,2,0,false,45,999,period,5438
FT,2,1,false,90,999,period,5439
HT,1,0,false,45,999,period,5439
FT,3,1,false,90,999,period,5440
HT,2,0,false,45,999,period,5440
FT,2,3,false,90,999,period,5441
HT,0,2,false,45,999,period,5441
FT,2,2,false,90,999,period,5442
HT,1,1,false,45,999,period,5442
FT,1,2,false,90,999,period,5443
HT,0,2,false,45,999,period,5443
FT,0,2,false,90,999,period,5444
HT,0,0,false,45,999,period,5444
FT,1,2,false,90,999,period,5445
HT,0,0,false,45,999,period,5445
FT,0,2,false,90,999,period,5446
HT,0,0,false,45,999,period,5446
FT,0,3,false,90,999,period,5447
HT,0,0,false,45,999,period,5447
FT,2,1,false,90,999,period,5448
HT,2,1,false,45,999,period,5448
FT,3,3,false,90,999,period,5449
HT,1,0,false,45,999,period,5449
FT,2,0,false,90,999,period,5450
HT,2,0,false,45,999,period,5450
FT,2,2,false,90,999,period,5451
HT,1,1,false,45,999,period,5451
FT,0,2,false,90,999,period,5452
HT,0,1,false,45,999,period,5452
FT,0,1,false,90,999,period,5453
HT,0,0,false,45,999,period,5453
FT,2,1,false,90,999,period,5454
HT,2,0,false,45,999,period,5454
FT,3,2,false,90,999,period,5455
HT,1,0,false,45,999,period,5455
FT,2,1,false,90,999,period,5456
HT,0,1,false,45,999,period,5456
FT,2,2,false,90,999,period,5457
HT,2,1,false,45,999,period,5457
FT,1,1,false,90,999,period,5458
HT,0,1,false,45,999,period,5458
FT,2,1,false,90,999,period,5459
HT,0,1,false,45,999,period,5459
FT,2,2,false,90,999,period,5460
HT,1,1,false,45,999,period,5460
FT,1,0,false,90,999,period,5461
HT,0,0,false,45,999,period,5461
FT,1,4,false,90,999,period,5462
HT,0,1,false,45,999,period,5462
FT,2,1,false,90,999,period,5463
HT,1,1,false,45,999,period,5463
FT,2,0,false,90,999,period,5464
HT,0,0,false,45,999,period,5464
FT,2,1,false,90,999,period,5465
HT,1,1,false,45,999,period,5465
FT,2,1,false,90,999,period,5466
HT,2,0,false,45,999,period,5466
FT,2,0,false,90,999,period,5467
HT,1,0,false,45,999,period,5467
FT,5,2,false,90,999,period,5468
HT,4,2,false,45,999,period,5468
