PlayerInFirstName,playerInLastName,PlayerInShortName,PlayerInSlug,playerInPosition,PlayerOutFirstName,PlayerOutLastName,PlayerOutShortName,PlayerOutSlug,PlayerOutPosition,Injury,Time,AddedTime,IsHome,IncidentClass,IncidentType,GameID
null,null,S. Larsson,sebastian-larsson,M,null,null,D. Meyler,david-meyler,M,null,78,null,false,null,substitution,2661
null,null,T. Walcott,theo-walcott,M,null,null,A. Arshavin,andrey-arshavin,M,null,77,null,true,null,substitution,2661
null,null,A. Diaby,abou-diaby,M,null,null,A. Ramsey,aaron-ramsey,M,null,69,null,true,null,substitution,2661
null,null,F. Campbell,fraizer-campbell,F,null,null,A. El-Mohamady,ahmed-el-mohamady,D,null,68,null,false,null,substitution,2661
null,null,L. Podolski,lukas-podolski,M,null,null,O. Giroud,olivier-giroud,F,null,64,null,true,null,substitution,2661
null,null,S. Sessègnon,stephane-sessegnon,M,null,null,L. Saha,louis-saha,F,null,63,null,false,null,substitution,2661
null,null,B. Ruiz,bryan-ruiz,M,null,null,S. Sidwell,steve-sidwell,M,null,81,null,true,null,substitution,2662
null,null,G. Holt,grant-holt,F,null,null,W. Hoolahan,wesley-hoolahan,M,null,77,null,false,null,substitution,2662
null,null,D. Duff,damien-duff,M,null,null,P. Kasami,pajtim-kasami,M,null,74,null,true,null,substitution,2662
null,null,M. Petrić,mladen-petric,F,null,null,H. Rodallega,hugo-rodallega,F,null,68,null,true,null,substitution,2662
null,null,R. Snodgrass,robert-snodgrass,M,null,null,E. Bennett,elliott-bennett,D,null,56,null,false,null,substitution,2662
null,null,A. Surman,andrew-surman,M,null,null,S. Morison,steve-morison,F,null,46,null,false,null,substitution,2662
null,null,S. Diakite,samba-diakite,M,null,null,S. Derry,shaun-derry,M,null,86,null,true,null,substitution,2663
null,null,Michu,michu,F,null,null,M. Gower,mark-gower,M,null,84,null,false,null,substitution,2663
null,null,D. Cissé,djibril-cisse,F,null,null,A. Johnson,andy-johnson,F,null,77,null,true,null,substitution,2663
null,null,N. Dyer,nathan-dyer,M,null,null,S. Sinclair,scott-sinclair,M,null,77,null,false,null,substitution,2663
null,null,J. d. Guzmán,jonathan-de-guzman,M,null,null,K. Agustien,kemy-agustien,M,null,70,null,false,null,substitution,2663
null,null,C. Hill,clint-hill,D,null,null,S. Wright-Phillips,shaun-wright-phillips,M,null,64,null,true,null,substitution,2663
null,null,G. Whelan,glenn-whelan,M,null,null,W. Palacios,wilson-palacios,M,null,86,null,false,null,substitution,2664
null,null,M. Etherington,matthew-etherington,M,null,null,R. Delap,rory-delap,M,null,80,null,false,null,substitution,2664
null,null,P. Pogrebnyak,pavel-pogrebnyak,F,null,null,N. Hunt,noel-hunt,F,null,77,null,true,null,substitution,2664
null,null,M. Kightly,michael-kightly,M,null,null,C. Jerome,cameron-jerome,F,null,75,null,false,null,substitution,2664
null,null,H. Robson-Kanu,hal-robson-kanu,F,null,null,G. McCleary,garath-mccleary,M,null,67,null,true,null,substitution,2664
null,null,J. Morrison,james-morrison,M,null,null,C. Brunt,chris-brunt,M,null,82,null,true,null,substitution,2665
null,null,J. Cole,joe-cole,M,null,null,A. Carroll,andy-carroll,F,null,79,null,false,null,substitution,2665
null,null,L. Leiva,lucas-leiva,M,null,null,J. Cole,joe-cole,M,null,68,null,false,null,substitution,2665
null,null,Z. Gera,zoltan-gera,M,null,null,M. Fortune,marc-antoine-fortune,F,null,68,null,true,null,substitution,2665
null,null,S. Long,shane-long,F,null,null,R. Lukaku,romelu-lukaku,F,null,68,null,true,null,substitution,2665
null,null,S. Downing,stewart-downing,M,null,null,J. L. D. Carragher,jamie-carragher,D,null,60,null,false,null,substitution,2665
null,null,C. Cole,carlton-cole,F,null,null,M. Maiga,modibo-maiga,F,null,81,null,true,null,substitution,2666
null,null,F. Delph,fabian-delph,M,null,null,B. Bannan,barry-bannan,M,null,77,null,false,null,substitution,2666
null,null,C. N'Zogbia,charles-nzogbia,M,null,null,G. Gardner,gary-gardner,M,null,74,null,false,null,substitution,2666
null,null,K. Nolan,kevin-nolan,M,null,null,J. Tomkins,james-tomkins,D,null,73,null,true,null,substitution,2666
null,null,G. McCartney,george-mccartney,D,null,null,J. O'Brien,joey-obrien,M,null,71,null,true,null,substitution,2666
null,null,B. Holman,brett-holman,M,null,null,A. Weimann,andreas-weimann,M,null,61,null,false,null,substitution,2666
null,null,Sandro,sandro,M,null,null,H. Kane,harry-kane,F,null,85,null,false,null,substitution,2667
null,null,D. Ba,demba-ba,F,null,null,G. Obertan,gabriel-obertan,M,null,85,null,true,null,substitution,2667
null,null,Y. Cabaye,yohan-cabaye,M,null,null,V. Anita,vurnon-anita,M,null,71,null,true,null,substitution,2667
null,null,G. Sigurðsson,gylfi-sigurdsson,M,null,null,R. v. d. Vaart,rafael-van-der-vaart,M,null,68,null,false,null,substitution,2667
null,null,J. Mata,juan-mata,M,null,null,R. Meireles,raul-meireles,M,null,82,null,false,null,substitution,2668
null,null,J. McArthur,james-mcarthur,M,null,null,B. Watson,ben-watson,M,null,80,null,true,null,substitution,2668
null,null,F. Santo,franco-di-santo,F,null,null,A. Koné,arouna-kone,F,null,67,null,true,null,substitution,2668
null,null,E. Hazard,eden-hazard,F,null,null,Oscar,oscar,M,null,64,null,false,null,substitution,2668
null,null,S. Maloney,shaun-maloney,M,null,null,J. Gomez,jordi-gomez,M,null,48,null,true,null,substitution,2668
null,null,C. Tévez,carlos-tevez,F,null,null,A. Kolarov,aleksandar-kolarov,D,null,87,null,true,null,substitution,2669
null,null,J. Puncheon,jason-puncheon,M,null,null,B. Sharp,billy-sharp,F,null,86,null,false,null,substitution,2669
null,null,D. Silva,david-silva,M,null,null,M. Balotelli,mario-balotelli,F,null,72,null,true,null,substitution,2669
null,null,J. Ward-Prowse,james-ward-prowse,M,null,null,S. Davis,steven-davis,M,null,65,null,false,null,substitution,2669
null,null,J. Rodriguez,jay-rodriguez,F,null,null,R. Lambert,rickie-lambert,F,null,55,null,false,null,substitution,2669
null,null,S. Agüero,sergio-aguero,F,null,null,E. Džeko,edin-dzeko,F,null,14,null,true,null,substitution,2669
null,null,M. Fellaini,marouane-fellaini,M,null,null,J. Heitinga,john-heitinga,D,null,90,null,true,null,substitution,2670
null,null,N. Jelavić,nikica-jelavic,F,null,null,S. Naismith,steven-naismith,F,null,90,null,true,null,substitution,2670
null,null,T. Cleverley,tom-cleverley,M,null,null,Anderson,anderson,M,null,85,null,false,null,substitution,2670
null,null,L. Osman,leon-osman,M,null,null,S. Coleman,seamus-coleman,D,null,80,null,true,null,substitution,2670
null,null,Nani,nani,M,null,null,A. Young,ashley-young,M,null,78,null,false,null,substitution,2670
null,null,D. Welbeck,danny-welbeck,F,null,null,R. v. Persie,robin-van-persie,F,null,68,null,false,null,substitution,2670
null,null,N. Taylor,neil-taylor,D,null,null,B. Davies,ben-davies,D,null,84,null,true,null,substitution,2671
null,null,W. Routledge,wayne-routledge,M,null,null,L. Moore,luke-moore,F,null,81,null,true,null,substitution,2671
null,null,J. d. Guzmán,jonathan-de-guzman,M,null,null,K. Agustien,kemy-agustien,M,null,75,null,true,null,substitution,2671
null,null,M. Diamé,mohamed-diame,M,null,null,A. Diarra,alou-diarra,M,null,69,null,false,null,substitution,2671
null,null,C. Cole,carlton-cole,F,null,null,M. Maiga,modibo-maiga,F,null,62,null,false,null,substitution,2671
null,null,J. Tomkins,james-tomkins,D,null,null,R. V. Tê,ricardo-vaz-te,F,null,46,null,false,null,substitution,2671
null,null,N. Jelavić,nikica-jelavic,F,null,null,J. Heitinga,john-heitinga,D,null,87,null,false,null,substitution,2672
null,null,D. Gibson,darron-gibson,M,null,null,K. Mirallas,kevin-mirallas,M,null,70,null,false,null,substitution,2672
null,null,B. Bannan,barry-bannan,M,null,null,A. Weimann,andreas-weimann,M,null,70,null,true,null,substitution,2672
null,null,S. Naismith,steven-naismith,F,null,null,S. Coleman,seamus-coleman,D,null,64,null,false,null,substitution,2672
null,null,C. Herd,chris-herd,M,null,null,E. Lichaj,eric-lichaj,D,null,59,null,true,null,substitution,2672
null,null,N. Delfouneso,nathan-delfouneso,F,null,null,B. Holman,brett-holman,M,null,46,null,true,null,substitution,2672
null,null,M. Diarra,mahamadou-diarra,M,null,null,C. Baird,chris-baird,D,null,81,null,false,null,substitution,2673
null,null,Anderson,anderson,M,null,null,R. Giggs,ryan-giggs,M,null,81,null,true,null,substitution,2673
null,null,M. Petrić,mladen-petric,F,null,null,H. Rodallega,hugo-rodallega,F,null,72,null,false,null,substitution,2673
null,null,S. Kagawa,shinji-kagawa,M,null,null,W. Rooney,wayne-rooney,M,null,68,null,true,null,substitution,2673
null,null,A. Young,ashley-young,M,null,null,D. Welbeck,danny-welbeck,F,null,68,null,true,null,substitution,2673
null,null,A. Kačaniklić,alexander-kacaniklic,M,null,null,S. Sidwell,steve-sidwell,M,null,62,null,false,null,substitution,2673
null,null,S. Jackson,simeon-jackson,F,null,null,C. Martin,chris-martin,F,null,87,null,true,null,substitution,2674
null,null,G. Holt,grant-holt,F,null,null,S. Morison,steve-morison,F,null,87,null,true,null,substitution,2674
null,null,S. Diakite,samba-diakite,M,null,null,S. Derry,shaun-derry,M,null,86,null,false,null,substitution,2674
null,null,A. Traore,armand-traore,D,null,null,J. Bosingwa,jose-bosingwa,D,null,70,null,false,null,substitution,2674
null,null,C. Hill,clint-hill,D,null,null,N. Onuoha,nedum-onuoha,D,null,46,null,false,null,substitution,2674
null,null,A. Koné,arouna-kone,F,null,null,M. Boselli,mauro-boselli,F,null,90,null,false,null,substitution,2675
null,null,J. Rodriguez,jay-rodriguez,F,null,null,B. Sharp,billy-sharp,F,null,76,null,true,null,substitution,2675
null,null,S. Davis,steven-davis,M,null,null,J. Ward-Prowse,james-ward-prowse,M,null,75,null,true,null,substitution,2675
null,null,S. Maloney,shaun-maloney,M,null,null,J. Beausejour,jean-beausejour,D,null,75,null,false,null,substitution,2675
null,null,F. Santo,franco-di-santo,F,null,null,J. Gomez,jordi-gomez,M,null,67,null,false,null,substitution,2675
