Confirmed,PlayerFirstName,PlayerLastName,PlayerShortName,PlayerSlug,PlayerPosition,Time,IsHome,IncidentClass,IncidentType,GameID
true,,,S. Agüero,sergio-aguero,F,85,false,penaltyAwarded,varDecision,5322
true,null,null,R. Sterling,raheem-sterling,F,76,false,goalAwarded,varDecision,5322
false,null,null,Gabriel,gabriel-jesus,F,55,false,goalAwarded,varDecision,5322
true,null,null,J. Fleck,john-fleck,M,79,false,cardUpgrade,varDecision,5323
true,null,null,J. King,joshua-king,F,60,true,penaltyNotAwarded,varDecision,5323
true,null,null,C. Adams,che-adams,F,30,false,cardUpgrade,varDecision,5324
true,,,A. Barnes,ashley-barnes,F,17,true,goalNotAwarded,varDecision,5324
true,null,null,L. Milivojević,luka-milivojevic,M,36,true,cardUpgrade,varDecision,5325
true,null,null,N. Maupay,neal-maupay,F,78,false,goalAwarded,varDecision,5326
true,null,null,R. Pereyra,roberto-pereyra,M,60,true,penaltyNotAwarded,varDecision,5326
true,null,null,J. McGinn,john-mcginn,M,61,false,cardUpgrade,varDecision,5327
true,null,null,J. McGinn,john-mcginn,M,52,false,penaltyNotAwarded,varDecision,5327
false,null,null,W. Boly,willy-boly,D,52,false,goalAwarded,varDecision,5328
true,null,null,T. Abraham,tammy-abraham,F,58,false,cardUpgrade,varDecision,5330
true,,,M. Rashford,marcus-rashford,M,35,true,goalNotAwarded,varDecision,5330
true,,,M. Rashford,marcus-rashford,M,17,true,penaltyAwarded,varDecision,5330
true,null,null,N. Monreal,nacho-monreal,D,45,true,goalNotAwarded,varDecision,5331
true,null,null,J. McGinn,john-mcginn,M,48,true,penaltyNotAwarded,varDecision,5332
false,null,null,L. Trossard,leandro-trossard,F,29,true,goalAwarded,varDecision,5333
true,null,null,G. Deulofeu,gerard-deulofeu,F,37,false,penaltyNotAwarded,varDecision,5334
false,null,null,Gabriel,gabriel-jesus,F,90,true,goalAwarded,varDecision,5337
true,null,null,R. Neves,ruben-neves,M,57,true,goalAwarded,varDecision,5340
false,null,null,K. Zouma,kurt-zouma,D,78,false,goalAwarded,varDecision,5342
true,null,null,L. Dunk,lewis-dunk,D,39,true,goalNotAwarded,varDecision,5343
true,,,M. Rashford,marcus-rashford,M,81,true,penaltyNotAwarded,varDecision,5344
true,null,null,N. Monreal,nacho-monreal,D,33,false,cardUpgrade,varDecision,5347
true,,,D. Silva,david-silva,M,61,false,penaltyNotAwarded,varDecision,5348
true,null,null,H. Kane,harry-kane,F,78,true,penaltyNotAwarded,varDecision,5349
true,null,null,R. Jiménez,raul-jimenez,F,90,true,penaltyAwarded,varDecision,5350
